country_code,country,subscribers,percent
ID,Indonesia,10014763,13.99
PH,Philippines,8172996,11.41
US,United States,7021883,9.81
IN,India,5064984,7.07
BR,Brazil,4834718,6.75
TH,Thailand,4259197,5.95
VN,Vietnam,4028932,5.63
MY,Malaysia,2072032,2.89
MX,Mexico,1841766,2.57
RU,Russia,1611572,2.25
KR,South Korea,1381378,1.93
DE,Germany,1266246,1.77
TR,Turkey,1266246,1.77
CA,Canada,1151113,1.61
AR,Argentina,920919,1.29
FR,France,920919,1.29
PE,Peru,920919,1.29
DZ,Algeria,805786,1.13
CL,Chile,805786,1.13
CO,Colombia,805786,1.13
