Country Code,Country,Followers,Percent
ID,Indonesia,6397428,24.09
PH,Philippines,2075499,7.81
TH,Thailand,2059219,7.75
US,United States,1880164,7.08
MY,Malaysia,1644114,6.19
BR,Brazil,1603427,6.04
KR,South Korea,1009266,3.80
VN,Vietnam,854617,3.22
JP,Japan,740656,2.79
CN,China,699968,2.64
IN,India,447665,1.69
RU,Russia,447665,1.69
MX,Mexico,415105,1.56
TW,Taiwan,382544,1.44
CL,Chile,341857,1.29
FR,France,309297,1.16
GB,United Kingdom,309297,1.16
IT,Italy,301143,1.13
CA,Canada,293017,1.10
