index,artist_name,track_name,danceability,energy,key,loudness,speechiness,accousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date
1,One Direction,Hey Angel,0.523,0.883,8,-2.956,0.0365,0.0202,0,0.116,0.35,92.215,240000,2015-11-13
2,One Direction,Drag Me Down,0.723,0.711,0,-5.576,0.0378,0.0997,0,0.0528,0.606,138.098,192107,2015-07-31
3,One Direction,Perfect,0.647,0.823,2,-5.231,0.0762,0.0598,0,0.119,0.396,99.933,230333,2015-10-16
4,One Direction,Infinity,0.529,0.736,4,-6.056,0.0346,0.0725,0,0.0832,0.394,131.944,249493,2015-09-22
5,One Direction,End of the Day,0.502,0.594,11,-5.031,0.0365,0.0256,0,0.0834,0.349,153.687,194973,2015-11-09
6,One Direction,If I Could Fly,0.565,0.245,5,-9.132,0.0262,0.781,0,0.0998,0.307,75.055,230320,2015-11-13
7,One Direction,Long Way Down,0.633,0.565,0,-5.179,0.0242,0.0772,2.31e-05,0.168,0.539,145.001,192160,2015-11-13
8,One Direction,Never Enough,0.579,0.779,4,-1.829,0.0512,0.0379,0,0.385,0.587,164.145,213440,2015-11-13
9,One Direction,Olivia,0.64,0.681,6,-5.362,0.0334,0.0438,0,0.166,0.676,118.062,177973,2015-11-13
10,One Direction,What a Feeling,0.678,0.869,0,-4.345,0.0461,0.149,0,0.0593,0.882,123.964,200533,2015-11-11
11,One Direction,Love You Goodbye,0.546,0.657,1,-4.787,0.0332,0.0928,0,0.119,0.361,133.188,196933,2015-11-10
12,One Direction,I Want to Write You a Song,0.714,0.443,5,-7.638,0.0256,0.779,0.000109,0.144,0.463,106.038,179013,2015-11-13
13,One Direction,History,0.655,0.699,11,-4.421,0.0493,0.0352,0,0.064,0.802,86.704,187427,2015-11-06
14,One Direction,Temporary Fix,0.556,0.902,4,-5.143,0.0449,9.17e-05,0,0.0888,0.96,145.914,175013,2015-11-13
15,One Direction,Walking in the Wind,0.687,0.447,8,-6.586,0.0486,0.0829,0,0.0878,0.501,114.578,202640,2015-11-13
16,One Direction,Wolves,0.627,0.818,5,-4.243,0.057,0.114,0,0.0504,0.527,123.456,241533,2015-11-13
17,One Direction,A.M.,0.586,0.527,3,-4.905,0.0309,0.227,0,0.0963,0.506,141.839,209040,2015-11-13
18,One Direction,Steal My Girl,0.536,0.768,10,-5.948,0.0347,0.00433,0,0.114,0.545,77.217,228133,2014-11-17
19,One Direction,Ready to Run,0.524,0.831,2,-4.174,0.036,0.00229,0,0.171,0.299,115.067,196053,2014-11-17
20,One Direction,Where Do Broken Hearts Go,0.565,0.862,4,-3.715,0.0326,0.0014,0,0.105,0.647,122.994,229040,2014-11-17
21,One Direction,18,0.681,0.582,6,-7.76,0.0313,0.22,0,0.119,0.221,124.038,248360,2014-11-17
22,One Direction,Girl Almighty,0.508,0.895,9,-3.745,0.0414,0.0424,0,0.198,0.495,168.941,201853,2014-11-17
23,One Direction,Fool's Gold,0.515,0.773,6,-4.848,0.0479,0.23,1.29e-06,0.0938,0.379,128.001,210893,2014-11-17
24,One Direction,Night Changes,0.672,0.52,8,-7.747,0.0353,0.859,0,0.115,0.37,120.001,226600,2014-11-17
25,One Direction,No Control,0.558,0.916,1,-3.145,0.0839,0.0278,0,0.0296,0.85,142.984,199720,2014-11-17
26,One Direction,Fireproof,0.681,0.864,3,-3.276,0.0301,0.00477,0,0.122,0.921,132.929,174080,2014-11-17
27,One Direction,Spaces,0.425,0.668,9,-7.542,0.0474,0.231,0,0.0681,0.351,149.924,256707,2014-11-17
28,One Direction,Stockholm Syndrome,0.678,0.933,2,-4.959,0.14,0.0734,0,0.0863,0.336,120.572,214720,2014-11-17
29,One Direction,Clouds,0.395,0.906,0,-4.683,0.0866,0.0183,0,0.382,0.196,147.864,231707,2014-11-17
30,One Direction,Change Your Ticket,0.59,0.944,10,-4.323,0.0499,0.00154,0,0.322,0.596,103.991,266600,2014-11-17
31,One Direction,Illusion,0.562,0.703,1,-5.457,0.0361,0.00205,0,0.15,0.538,122.986,194200,2014-11-17
32,One Direction,Once in a Lifetime,0.554,0.335,5,-5.513,0.0281,0.618,0,0.0927,0.298,133.709,158320,2014-11-17
33,Katy Perry,Act My Age,0.687,0.793,9,-5.461,0.0895,0.00708,0,0.375,0.622,112.057,221613,2017-06-09
34,One Direction,Best Song Ever,0.652,0.877,1,-2.986,0.0465,0.0227,0,0.0789,0.486,118.491,200107,2013-11-25
35,One Direction,Story of My Life,0.6,0.663,3,-5.802,0.0477,0.225,0,0.119,0.286,121.07,245493,2013-11-25
36,One Direction,Diana,0.549,0.868,2,-4.319,0.0614,0.0604,0,0.137,0.755,171.96,184667,2013-11-25
37,One Direction,Midnight Memories,0.432,0.868,6,-2.01,0.0882,0.00725,0,0.233,0.567,156.128,176320,2013-11-25
38,One Direction,You & I,0.574,0.329,1,-6.829,0.0274,0.22,0,0.0986,0.356,130.993,237933,2013-11-25
39,One Direction,Don't Forget Where You Belong,0.54,0.711,7,-5.717,0.0255,0.103,0,0.0827,0.292,92.014,241000,2013-11-25
40,One Direction,Strong,0.741,0.663,0,-7.308,0.0434,0.0608,0,0.0931,0.338,115.013,184373,2013-11-25
41,One Direction,Happily,0.623,0.89,9,-4.783,0.0394,0.0426,0,0.153,0.824,117.0,175480,2013-11-25
42,Rihanna,Right Now,0.668,0.64,3,-5.208,0.0888,0.049,0,0.0675,0.259,130.004,181627,2012-12-11
43,One Direction,Little Black Dress,0.63,0.881,4,-3.506,0.0433,0.000467,0,0.0405,0.54,121.468,157653,2013-11-25
44,One Direction,Through the Dark,0.568,0.691,9,-5.225,0.0306,0.188,0,0.0861,0.396,131.007,221733,2013-11-25
45,One Direction,Something Great,0.547,0.649,2,-5.039,0.0298,0.00793,0,0.201,0.361,114.019,236520,2013-11-25
46,One Direction,Little White Lies,0.591,0.899,0,-3.768,0.0536,0.00726,0,0.393,0.446,139.547,197920,2013-11-25
47,One Direction,Better Than Words,0.627,0.839,11,-5.589,0.0508,0.114,0,0.534,0.79,157.993,208667,2013-11-25
