Date,Spotify Editorial Playlist Count,Spotify Playlist Total Reach,iTunes Editorial Playlist Count,Amazon Editorial Playlist Count,Youtube Editorial Playlist Count,Youtube Playlist Total Reach
2018-12-01,140,102480256,8,,,
2018-12-02,137,100944874,8,,,
2018-12-03,135,100947771,8,,,
2018-12-04,129,85050478,8,,,
2018-12-05,121,84567582,8,,,
2018-12-06,131,84122442,8,,,
2018-12-07,135,97164945,8,,,
2018-12-08,133,83754692,8,,,
2018-12-09,131,79425346,7,,,
2018-12-10,126,79300672,7,,,
2018-12-11,122,79156151,7,,,
2018-12-12,120,79085269,7,,,
2018-12-13,122,76761339,7,,,
2018-12-14,119,76708656,7,,,
2018-12-15,120,76615498,6,,,
2018-12-16,117,76459453,6,,,
2018-12-17,117,76175630,6,,,
2018-12-18,119,76533697,6,,,
2018-12-19,120,76557723,6,,,
2018-12-20,122,76897291,6,,,
2018-12-21,123,76959529,6,,,
2018-12-22,121,77008354,6,,,
2018-12-23,118,76795746,6,,,
2018-12-24,117,76891890,6,,,
2018-12-25,117,76389797,6,,,
2018-12-26,119,76549406,6,,,
2018-12-27,114,76349346,6,,,
2018-12-28,115,76517375,6,,,
2018-12-29,117,76869053,6,,,
2018-12-30,124,92422893,6,,,
2018-12-31,130,79393160,6,,,
2019-01-01,126,79387241,6,,,
2019-01-02,127,79477961,6,,,
2019-01-03,121,77436538,6,,,
2019-01-04,121,79148053,6,,,
2019-01-05,128,92932943,6,,,
2019-01-06,128,93135013,6,,,
2019-01-07,129,93234042,6,,,
2019-01-08,130,79920380,6,,,
2019-01-09,130,78135542,6,,,
2019-01-10,126,78331032,6,,,
2019-01-11,126,78448742,6,,,
2019-01-12,124,78942869,6,,,
2019-01-13,123,78728930,6,,,
2019-01-14,123,78791065,6,,,
2019-01-15,122,76573980,6,,,
2019-01-16,120,76375753,6,,,
2019-01-17,121,74362383,6,,,
2019-01-18,118,74354494,6,,,
2019-01-19,121,67884073,6,,,
