index,artist_name,track_ame,danceability,energy,key,loudness,speechiness,accousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date
1,BLACKPINK,Kill This Love,0.738,0.861,2,-4.141,0.237,0.32,0.00175,0.325,0.58,131.974,189052,2019-04-05
2,BLACKPINK,Don't Know What To Do,0.628,0.64,6,-4.164,0.049,0.0992,0,0.138,0.409,129.815,201081,2019-04-05
3,BLACKPINK,Kick It,0.764,0.787,1,-3.647,0.0445,0.0153,0,0.0736,0.381,124.949,191226,2019-04-05
4,BLACKPINK,Hope Not,0.561,0.422,4,-4.998,0.0267,0.444,0,0.0867,0.182,110.037,191030,2019-04-05
5,BLACKPINK,DDU-DU DDU-DU - Remix,0.68,0.906,11,-6.195,0.0734,0.0336,7.75e-05,0.077,0.68,145.041,201225,2019-04-05
6,BLACKPINK,DDU-DU DDU-DU,0.671,0.859,4,-3.922,0.0833,0.0323,0,0.267,0.389,139.931,209355,2018-06-15
7,BLACKPINK,Forever Young,0.6,0.96,4,-1.807,0.095,0.0426,0,0.0882,0.503,109.863,237077,2018-06-15
8,BLACKPINK,Really,0.695,0.881,1,-2.082,0.104,0.0234,0,0.277,0.947,142.018,197789,2018-06-15
9,BLACKPINK,See U Later,0.741,0.926,9,-3.968,0.112,0.0376,0,0.582,0.571,106.99,198867,2018-06-15
10,BLACKPINK,Kiss and Make Up,0.678,0.729,8,-4.188,0.137,0.0658,0,0.303,0.643,99.895,189173,2018-10-19
11,BLACKPINK,STAY,0.628,0.433,1,-6.808,0.0383,0.569,7.71e-06,0.104,0.343,88.074,230400,2016-11-01
12,BLACKPINK,BOOMBAYAH,0.658,0.836,5,-3.282,0.0549,0.00264,1.02e-06,0.507,0.387,124.969,240849,2016-08-08
13,BLACKPINK,WHISTLE,0.822,0.712,11,-4.877,0.15,0.00682,0,0.0955,0.647,102.874,211696,2016-08-08
14,BLACKPINK,PLAYING WITH FIRE,0.707,0.758,4,-4.511,0.0917,0.0399,0,0.141,0.674,97.037,197355,2016-11-01
15,BLACKPINK,As If It's Your Last,0.786,0.853,8,-2.687,0.0816,0.0688,0,0.0759,0.45,125.034,213264,2017-06-22
