label,frequency
Gray,3
Architecture,14
Automobile,28
Building,15
Car,28
Column,12
Human,415
Person,415
Pillar,12
Transportation,31
Vehicle,31
City,3
Downtown,3
Lighting,20
Shrine,1
Temple,1
Town,3
Urban,3
Worship,1
Machine,23
Wheel,17
Stage,72
Apparel,329
Clothing,329
Dress,6
Indoors,11
Room,2
Costume,83
Banister,19
Handrail,19
Footwear,79
Shoe,76
Dance Pose,103
Evening Dress,22
Fashion,34
Gown,22
Leisure Activities,131
Robe,24
Skirt,36
Purple,45
Train,2
Kimono,1
Female,180
Flooring,21
Sleeve,12
Floor,6
Staircase,11
Woman,40
Face,106
Girl,57
Finger,56
People,17
Manicure,1
Nail,2
Accessories,17
Accessory,17
Blonde,6
Child,8
Jewelry,6
Kid,8
Necklace,4
Teen,8
Photo,6
Photography,6
Smile,16
Dance,8
Performer,1
Text,6
Portrait,5
Plant,2
Arcade Game Machine,2
Interior Design,7
Club,24
Lip,12
Mouth,12
Home Decor,5
Long Sleeve,1
Hair,4
Light,17
Hug,1
Skating,1
Sport,1
Sports,1
Cushion,1
Teeth,1
Cosmetics,1
Sunglasses,2
Doll,4
Toy,5
Crowd,13
Festival,11
Hat,22
Night Life,34
Cap,1
Night Club,14
Musical Instrument,7
Musician,7
Spoke,5
Bonfire,1
Dj,1
Fire,3
Flame,2
Skin,7
Shorts,30
Pants,10
Paper,1
Headband,6
Cream,8
Creme,8
Dessert,8
Food,8
Ice Cream,2
Bandana,1
Confectionery,1
Sweets,1
Music Band,2
Crib,2
Furniture,2
Outdoors,2
Neon,1
Party,4
Dancing,32
Wood,6
Alphabet,1
