label,frequency
Gray,2
Machine,4
Tire,6
Wheel,4
Building,25
Car Wheel,3
Nature,11
Outdoors,19
Transportation,2
Vehicle,1
Wood,2
Countryside,1
Hut,1
Rural,1
Concrete,2
Human,402
Ice,1
Person,402
Water,9
Sport,6
Sports,6
Stage,119
People,10
Leisure Activities,141
Lighting,59
Dance Pose,113
Female,138
Accessories,51
Accessory,51
Face,123
Apparel,169
Clothing,169
Girl,49
Head,3
Photo,33
Photography,33
Portrait,28
Jewelry,35
Hair,13
Performer,7
Necklace,10
Shorts,6
Skin,10
Skirt,1
Woman,24
Footwear,4
Shoe,4
Indoors,14
Chess,14
Game,14
Smile,4
Animal,6
Mammal,2
Pet,1
Finger,12
Blonde,7
Child,9
Kid,9
Teen,9
Bird,4
Cockatoo,2
Parrot,2
Furniture,20
Chair,11
Sitting,1
Cosmetics,6
Pharmacy,2
Shop,4
Text,6
Blackboard,5
Teacher,3
Interior Design,9
Costume,20
Cosplay,1
Sphere,1
Window,1
Dress,21
Evening Dress,12
Fashion,16
Gown,12
Robe,12
Tiara,2
Lip,10
Mouth,10
Lipstick,5
Canopy,7
Tent,4
Crystal,1
Umbrella,2
Bonfire,2
Fire,2
Flame,2
Flare,2
Light,8
Crowd,44
Night Life,48
Dance,4
Dancing,57
Club,38
Night Club,29
Purple,35
Hat,6
Sun Hat,2
Food,5
Popcorn,4
Blossom,10
Confectionery,2
Dating,1
Flower,10
Plant,15
Sweets,2
Cushion,1
Petal,5
Home Decor,1
Doll,6
Dye,1
Toy,7
Earring,2
Sleeve,2
Cell Phone,2
Electronics,6
Mobile Phone,2
Phone,2
Paparazzi,5
Photographer,5
Camera,3
Chandelier,10
Lamp,14
Architecture,17
Bead,3
Acrobatic,3
Circus,11
Festival,18
Party,3
Adventure,2
Coat,1
Overcoat,1
Suit,1
Lady,1
Parade,1
Tree,2
Vegetation,1
Disco,5
Guitar,2
Musical Instrument,3
Amusement Park,1
Theme Park,1
Ornament,3
Worship,13
Shrine,12
Temple,12
Pagoda,1
Pattern,2
Musician,1
Art,2
Stained Glass,1
Triangle,3
Pants,11
Couch,4
Business Card,5
Paper,5
