label,frequency
Gray,3
Indoors,23
Interior Design,21
Lighting,34
Room,15
Stage,109
Theater,6
Auditorium,2
Hall,2
Fashion,26
Flare,7
Human,331
Light,18
Person,331
Club,24
Laser,1
Night Club,11
Purple,7
Crowd,61
Musical Instrument,2
Night Life,25
Apparel,176
Clothing,176
Evening Dress,18
Female,50
Gown,20
Robe,22
Sleeve,7
Crystal,7
Leisure Activities,164
Nature,8
Outdoors,14
Water,7
Face,44
Dress,13
Costume,41
Blossom,6
Flower,6
Hat,1
Plant,11
Head,10
Girl,8
Home Decor,2
Smile,9
Lip,6
Mouth,6
Photo,5
Photography,5
Portrait,4
Child,2
Kid,2
Teen,2
Woman,6
Art,9
Graphics,4
Overwatch,1
Animal,8
Finger,42
Hand,1
Adventure,5
Aquatic,2
Sea Life,1
Accessories,9
Accessory,9
Hair,5
Sunglasses,1
Teeth,2
Jaw,1
Dance Pose,127
Festival,35
Shorts,2
Denim,1
Jeans,1
Pants,1
Jewelry,3
Necklace,1
Footwear,4
Shoe,4
Feather Boa,2
Scarf,2
Smoke,1
Amusement Park,2
Horse,2
Mammal,2
Theme Park,2
Skin,6
World Of Warcraft,1
Bird,2
Chicken,2
Fowl,2
Poultry,2
Dancing,60
Performer,7
Sport,1
Sports,1
Disco,1
Party,3
Bead,1
Doll,1
Toy,1
People,1
Long Sleeve,2
Snow,1
Dance,12
Pendant,1
Flamenco,3
Figurine,1
Lingerie,1
Underwear,1
Painting,1
Text,12
Alphabet,11
