label,frequency
Texture,4
White,3
White Board,4
Human,338
Person,338
Accessories,39
Accessory,39
Apparel,245
Blossom,13
Clothing,245
Flower,13
Jewelry,15
Necklace,14
Plant,20
Finger,53
Hat,30
Face,44
Advertisement,13
Collage,2
Head,2
Poster,13
Bonnet,1
Slide,2
Toy,11
Crib,2
Furniture,13
Pendant,2
Female,70
Swimwear,6
Art,30
Doodle,1
Drawing,2
Shelf,2
Cabinet,2
Closet,1
Cupboard,1
Medicine Chest,1
Lingerie,3
Underwear,3
Bikini,1
Display,1
Electronics,1
LCD Screen,1
Monitor,1
Screen,1
Cake,5
Cream,9
Creme,9
Dessert,9
Food,18
Evening Dress,9
Fashion,16
Gown,13
Robe,11
Lip,13
Mouth,13
Doll,5
Purple,18
Teeth,2
Inflatable,1
Bead,1
Confectionery,8
Figurine,2
Icing,4
Sweets,8
Hair,6
Bicycle,4
Bike,4
Machine,9
Transportation,20
Vehicle,20
Wheel,9
Tree,2
Amusement Park,1
Theme Park,1
Jar,1
Beverage,1
Drink,1
Leisure Activities,28
Dance Pose,14
Shorts,2
People,15
Flower Arrangement,7
Flower Bouquet,3
Feather Boa,3
Scarf,4
Dance,3
Sleeve,3
Girl,23
Woman,16
Helmet,3
Ball,7
Balloon,5
Skirt,10
Painting,3
Animal,11
Canine,6
Mammal,11
Pet,10
Dog,4
Golden Retriever,3
Petal,2
Baby,1
Newborn,1
Automobile,7
Car,7
Text,11
Miniskirt,2
Flooring,2
Footwear,4
Shoe,3
Costume,2
Sunglasses,8
Blonde,3
Child,3
Kid,3
Teen,3
Alloy Wheel,1
Car Wheel,1
Spoke,1
Tire,2
Bathtub,4
Tub,4
Headband,1
Ice Cream,2
Dress,3
Sun Hat,1
Graphics,13
Kart,3
Karaoke,1
Cat,1
Flamenco,1
Performer,1
Brochure,1
Flyer,1
Paper,1
Convertible,1
Car Show,2
Cushion,1
Smile,1
Cradle,1
Alphabet,3
Logo,9
Symbol,9
Trademark,9
