Label,Frequency
Gray,1
Electronic Chip,1
Electronics,9
Hardware,2
Computer,1
Computer Hardware,1
Flare,19
Light,37
Lighting,10
Sunlight,3
Apparel,179
Clothing,179
Evening Dress,16
Face,99
Fashion,25
Female,73
Gown,19
Human,352
Person,352
Robe,18
Hair,23
Sleeve,4
Woman,22
Building,5
City,5
Metropolis,2
Town,5
Urban,5
Crystal,1
Sphere,1
Accessories,29
Accessory,29
Glasses,1
Goggles,1
Head,13
Night Life,6
Stage,48
Club,3
Pants,5
Jewelry,16
Bead,7
Cosmetics,10
Lipstick,10
Dance Pose,82
Dress,2
Footwear,28
Leisure Activities,115
Shoe,24
Tiara,2
Blonde,4
Child,10
Girl,16
Kid,10
Teen,7
Art,8
Animal,2
Bird,2
Nature,16
Outdoors,23
Sky,2
Finger,47
Dance,8
Performer,6
Fire,10
Flamenco,2
Confectionery,1
Food,8
Photo,12
Photography,12
Portrait,10
Selfie,1
Smile,6
Sweets,1
Shelf,9
Shop,7
Candy,4
Market,3
Toy,3
Grocery Store,1
Supermarket,1
Crowd,36
Advertisement,3
Poster,3
Lip,24
Mouth,24
Teeth,5
Skin,5
Astronomy,3
Eclipse,1
Graphics,2
Festival,11
Flame,8
Pattern,2
Fractal,1
Ornament,1
Automobile,1
Car,1
Car Wheel,1
Machine,1
Tire,1
Transportation,2
Vehicle,2
Wheel,1
Sport,2
Sports,2
Costume,43
Adventure,9
Shorts,5
Paper,15
Confetti,7
Night Club,1
People,20
Cosplay,1
Cell Phone,4
Mobile Phone,4
Phone,6
Text,8
Necklace,3
Black Hair,1
Cowboy Hat,3
Hat,6
Sun Hat,4
Doll,2
Bonfire,7
Plant,1
Feather Boa,1
Scarf,2
Stained Glass,1
Dirt Road,1
Gravel,1
Road,5
Hot Tub,2
Jacuzzi,2
Tub,2
Musical Instrument,2
Duel,1
Silhouette,6
Triangle,1
Night,1
Outer Space,1
Space,1
Universe,1
Alley,2
Alleyway,2
Street,3
Asphalt,1
Tarmac,1
Chair,1
Furniture,1
Indoors,14
Room,9
Flooring,10
Exercise,1
Fitness,1
Working Out,1
Interior Design,5
Floor,3
Hardwood,1
Wood,2
Skirt,5
Logo,6
Symbol,6
Trademark,6
