Label,Frequency
Gray,3
Halo,4
Human,376
Nature,14
Person,376
Outdoors,17
Apparel,192
Ball,2
Clothing,192
People,16
Balloon,1
Dating,2
Face,31
Water,6
Amusement Park,1
Theme Park,1
Transportation,17
Vehicle,17
Automobile,10
Car,10
Convertible,2
Indoors,20
Interior Design,10
Calligraphy,2
Handwriting,2
Text,10
Finger,67
Make Out,1
Cushion,4
Driving,1
Machine,10
Tire,1
Coat,6
Jacket,3
Toy,1
Evening Dress,24
Fashion,32
Female,49
Gown,27
Leisure Activities,128
Robe,28
Woman,15
Sleeve,17
Night Life,16
Accessories,9
Accessory,9
Building,4
Long Sleeve,1
Urban,4
Blossom,6
Flower,6
Plant,11
Crowd,9
Flower Arrangement,2
Flower Bouquet,2
Sky,2
Adventure,1
Animal,1
Sea Life,1
Bed,2
Furniture,7
Musical Instrument,10
Musician,5
Sitting,4
Footwear,16
Guitar,6
Guitarist,1
Performer,5
Electric Guitar,1
Dance Pose,84
Stage,74
Shoe,14
Shorts,10
City,2
Lighting,2
Town,2
Costume,4
Lingerie,1
Underwear,1
Light,2
Club,1
Flooring,1
Confectionery,1
Egg,1
Food,2
Sweets,1
Head,4
Hair,3
Dancing,32
Baby,2
Newborn,2
Girl,11
Silhouette,2
Sport,1
Sports,1
Wheel,3
Room,2
Dance,2
Skirt,3
Paintball,2
Home Decor,2
Kindergarten,1
Art,3
Armored,1
Army,1
Engine,4
Military,1
Military Uniform,1
Motor,4
Tank,1
Blonde,1
Child,2
Kid,2
Photo,6
Photography,6
Portrait,5
Smile,3
Teen,3
Dress,2
Jewelry,5
Necklace,3
Sun,1
Field,2
Grassland,2
Savanna,2
Lip,1
Mouth,1
