Label,Frequency
Gray,1
Halo,1
Wood,13
Human,370
Person,370
Apparel,248
Clothing,248
Hair,28
Curtain,7
Home Decor,13
Shutter,5
Window,9
Window Shade,7
Finger,86
Grand Piano,2
Leisure Activities,98
Musical Instrument,8
Musician,3
Performer,6
Pianist,1
Piano,6
Electronics,11
Keyboard,3
Banister,12
Female,77
Handrail,12
Hardwood,4
Plywood,6
Skirt,15
Costume,53
Crowd,21
Doll,45
Toy,46
Dance Pose,78
Stage,45
Woman,22
Footwear,57
Shoe,55
Pants,5
Fire,9
Flame,6
Adventure,5
Flare,7
Light,7
Nature,11
Outdoors,13
Sky,2
Blonde,9
Child,11
Face,76
Girl,22
Helmet,5
Kid,11
Teen,10
Coat,11
Hood,1
Jacket,9
Photo,10
Photography,10
Portrait,8
Shorts,15
Sleeve,6
Animal,9
Bird,5
Smile,3
Skin,8
Dance,8
People,5
Chair,2
Flooring,16
Furniture,18
Festival,3
Plant,13
Toe,2
Radiator,1
Bed,5
Computer,3
Display,4
Indoors,7
LCD Screen,2
Monitor,4
Pc,3
Reptile,3
Room,7
Screen,4
Sea Life,3
Turtle,3
Bedroom,2
Laptop,1
Cushion,7
Headrest,1
Food,11
Confectionery,5
Sweets,5
Blossom,3
Flower,3
Flower Arrangement,2
Ornament,1
Mannequin,2
Baby,2
Car Seat,2
Hat,3
Automobile,2
Car,2
Mirror,2
Transportation,2
Vehicle,2
Leather Jacket,1
Guitar,1
Railing,7
Water,5
Waterfront,4
Boardwalk,4
Bridge,4
Building,4
Dock,3
Pier,3
Port,3
Ocean,1
Path,1
Porch,2
Sea,1
Fashion,8
Robe,7
Floor,5
Couch,2
Mammal,1
Pet,1
Cosmetics,1
Pillow,4
Hand,2
Accessories,5
Accessory,5
Tie,1
Gown,5
Door,3
Evening Dress,2
Night Life,1
Lip,7
Mouth,7
Bead,2
Boot,2
Puddle,1
Head,3
Bathtub,2
Tub,2
Video Gaming,1
Nail,3
Text,4
Alphabet,1
Business Card,1
Paper,1
