Label,Frequency
Advertisement,6
Alloy Wheel,20
Automobile,40
Billboard,5
Car,40
Car Wheel,22
Human,337
Machine,34
Person,337
Spoke,21
Sports Car,5
Tire,28
Transportation,44
Vehicle,44
Wheel,34
Apparel,206
Clothing,206
License Plate,4
Poster,2
Evening Dress,58
Fashion,64
Female,128
Gown,60
Robe,61
Woman,46
Dress,23
Plant,21
Gate,3
Tree,7
Railing,2
Shorts,14
Sleeve,15
Girl,25
Window,2
Finger,44
Hair,8
Animal,7
Floor,26
Flooring,40
Mammal,1
Pet,1
Face,73
Photo,15
Photography,15
Portrait,15
Teen,3
Bed,8
Bedroom,6
Cushion,11
Furniture,39
Home Decor,10
Indoors,43
Interior Design,14
Pillow,6
Room,38
Electronics,8
Couch,7
Teddy Bear,4
Toy,4
Reading,4
Building,21
Hotel,4
Pool,4
Resort,3
Swimming Pool,4
Water,16
Swimwear,5
Blossom,15
Flower,15
Land,6
Nature,11
Outdoors,14
Bird,5
Lily,3
Pond Lily,3
Bush,2
Chair,16
Grass,9
Jar,4
Lawn,4
Petal,9
Potted Plant,4
Pottery,4
Vase,4
Vegetation,4
Yard,4
Child,3
Field,3
Grassland,3
Herbal,2
Herbs,2
Kid,3
Park,3
Planter,2
Purple,4
Flower Arrangement,5
Flower Bouquet,5
Geranium,2
Footwear,20
Shoe,18
Dance Pose,39
Leisure Activities,58
Dance,22
Lamp,7
Chandelier,5
Curtain,8
Wood,17
Living Room,7
Hardwood,3
Shop,2
Appliance,25
Laundry,33
Architecture,1
Clock Tower,1
Tower,1
Display,1
LCD Screen,1
Monitor,1
Screen,3
Helmet,3
Hat,2
Headband,1
Pants,4
Train,3
Club,14
Night Club,10
Night Life,16
Musical Instrument,5
Accessories,13
Accessory,13
Jewelry,6
Necklace,6
Bar Counter,6
Beverage,1
Coat,12
Drink,1
Jacket,9
Pub,9
Cafe,2
Cafeteria,2
Food,3
Food Court,2
Meal,3
Restaurant,3
Stage,3
Bicycle,2
Bike,2
People,36
Windshield,1
Long Sleeve,3
Art,10
Graffiti,9
City,12
Mural,3
Painting,3
Town,12
Urban,12
Road,12
Street,11
Crowd,27
Festival,8
Wall,1
Amusement Park,2
Lighting,1
Theme Park,1
Light,2
Arcade Game Machine,1
Costume,9
Cosmetics,1
Lipstick,1
Brush,1
Tool,1
Toothbrush,1
Sitting,2
Path,5
Pedestrian,3
Skirt,6
Asphalt,3
Tarmac,3
Cell Phone,2
Mobile Phone,2
Phone,2
Alley,6
Alleyway,6
Final Fantasy,1
Lip,2
Mouth,2
Office Building,1
Smile,5
Selfie,1
Court,1
Theater,6
Concert,3
Music Band,1
Musician,2
Overcoat,2
Suit,2
Tuxedo,1
Exercise,5
Fitness,5
Sport,5
Sports,5
Working Out,5
Dressing Room,3
Lingerie,2
Underwear,3
Lobby,1
Audience,4
Party,1
Gym,1
Tango,2
Gray,1
Alphabet,11
Symbol,3
Text,11
Logo,1
Trademark,1
Word,10
