label,frequency
Ball,2
Balloon,2
Human,443
Person,443
Apparel,199
Clothing,199
Footwear,33
Shoe,32
Fog,31
Nature,63
Outdoors,50
Weather,7
Face,113
Flare,8
Light,8
Smog,9
Smoke,44
Female,106
Photo,48
Photography,48
Girl,62
Hug,2
Portrait,40
Woman,44
Finger,25
Automobile,77
Car,77
Machine,65
Tent,2
Transportation,80
Vehicle,80
Wheel,63
Alloy Wheel,6
Car Wheel,7
Spoke,7
Tire,9
Construction,9
Chair,23
Furniture,28
Guitar,25
Leisure Activities,44
Musical Instrument,26
Hair,13
Home Decor,6
Head,7
Smile,16
Dimples,1
Long Sleeve,8
Sleeve,26
Legend of Zelda,1
Final Fantasy,4
Grand Theft Auto,19
Fashion,6
Gown,5
Robe,5
Plant,2
Stage,4
Tree,1
Blonde,10
Child,13
Kid,13
Teen,16
Crowd,3
Coat,35
Jacket,15
Lip,1
Mouth,1
Water,8
Text,10
Building,31
Office Building,7
Symbol,2
City,7
Town,7
Urban,8
Word,3
Acrobatic,5
Architecture,6
White Board,1
Kimono,3
Dance Pose,8
Dance,2
Doll,1
Toy,1
Sweater,5
Sweatshirt,5
Hood,4
Hoodie,1
People,28
Corridor,7
Flooring,4
Floor,3
Guitarist,11
Musician,11
Performer,11
Bass Guitar,7
Costume,6
Road,7
Shorts,1
Overwatch,1
Selfie,3
Clinic,2
Overcoat,2
Freeway,2
Intersection,2
Pollution,4
Denim,2
Jeans,2
Pants,9
Plywood,1
Wood,2
Dating,3
Family,4
Hand,4
Holding Hands,3
Walking,4
Standing,3
Dawn,4
Dusk,4
Landscape,4
Ocean,4
Panoramic,4
Red Sky,4
Scenery,4
Sea,4
Shoreline,3
Silhouette,4
Sky,5
Sunrise,4
Sunset,4
Coast,2
Horizon,1
Beach,1
Indoors,8
Interior Design,7
Couch,3
Room,2
Adventure,3
Door,1
Diary,2
Advertisement,1
Banister,1
Handrail,1
Scaffolding,2
Lighting,2
Animal,2
Sport,4
Sports,4
Pedestrian,2
Business Card,1
Paper,1
