Label,Frequency
Gray,2
Display,9
Electronics,16
Human,412
Monitor,9
Person,412
Screen,10
Audio Speaker,4
Speaker,4
TV,1
Television,1
Apparel,204
Clothing,204
Architecture,1
Building,1
Accessories,14
Accessory,14
Light,17
Purple,24
Face,92
Outdoors,24
Arcade Game Machine,1
Night Life,11
Indoors,21
Machine,4
Computer,2
Finger,16
Remote Control,2
Wood,2
Hardware,1
Mouse,1
Plywood,1
Female,141
Photo,22
Photography,22
Blonde,14
Child,15
Girl,72
Kid,15
Portrait,17
Teen,16
Woman,50
Animal,8
Fish,3
Astronomy,16
Outer Space,16
Space,16
Sphere,5
Universe,16
Quake,1
Couch,7
Furniture,33
Sitting,26
Stereo,1
Video Gaming,2
Chair,17
Interior Design,12
Armchair,2
Sunglasses,4
Plant,13
Fire,2
Art,9
Bicycle,5
Bike,5
Transportation,56
Vehicle,55
Helmet,6
Hair,8
Costume,29
Dance Pose,34
Dress,15
Leisure Activities,50
Evening Dress,12
Fashion,22
Gown,18
Robe,19
Globe,5
Planet,9
Earth,2
Nature,16
Dating,5
Heel,4
Wedding,5
Wedding Gown,5
Sleeve,11
Throne,2
Corridor,5
Lamp,1
Lighting,9
Floor,1
Room,3
Dressing Room,1
Head,3
Doll,6
Smile,13
Toy,8
Black Hair,1
Crowd,3
Shelf,2
Shop,2
Coat,6
Jacket,4
Footwear,25
Shoe,25
Boat,2
Ice,1
Snow,2
Automobile,25
Car,25
People,14
Worship,2
Lip,1
Mouth,1
Ballet,1
Dance,4
Stage,20
Shorts,11
Arm,1
Skirt,1
Driving,29
Cushion,13
Clinic,2
LCD Screen,1
Studio,1
Table,1
Mirror,2
Club,15
Night Club,11
Disco,1
Party,2
Elevator,4
Restaurant,3
Cafe,1
Cafeteria,1
Cosplay,2
Jewelry,1
Necklace,1
Skin,1
Home Decor,3
Cyclist,2
Sport,4
Sports,4
Wheel,2
Musical Instrument,1
Musician,1
Hat,2
High Heel,1
Horse,2
Mammal,2
Patient,2
Therapy,1
Flare,5
Overwatch,4
Exercise,2
Fitness,2
Working Out,2
Sky,2
Sun,2
Sunlight,2
Sunrise,1
Laser,2
Text,1
