date,monthlylisteners,monthlylistenersdifference
2018-04-04,1792051,
2018-04-05,1775068,-16983
2018-04-06,1775068,0
2018-04-07,1775068,0
2018-04-08,1775068,0
2018-04-09,1775068,0
2018-04-10,1775068,0
2018-04-11,1818291,43223
2018-04-12,1818291,0
2018-04-13,1818291,0
2018-04-14,1818291,0
2018-04-15,1818291,0
2018-04-16,1816319,-1972
2018-04-17,1816319,0
2018-04-18,1816319,0
2018-04-19,1816319,0
2018-04-20,1816319,0
2018-04-21,1829297,12978
2018-04-22,1829297,0
2018-04-23,1829297,0
2018-04-24,1829297,0
2018-04-25,1829297,0
2018-04-26,1824311,-4986
2018-04-27,1824311,0
2018-04-28,1824311,0
2018-04-29,1824311,0
2018-04-30,1824311,0
2018-05-02,1821351,-2960
2018-05-03,1821351,0
2018-05-04,1808012,-13339
2018-05-05,1808012,0
2018-05-06,1808012,0
2018-05-07,1808012,0
2018-05-08,1781575,-26437
2018-05-09,1781575,0
2018-05-10,1781575,0
2018-05-11,1781575,0
2018-05-12,1781575,0
2018-05-13,1762894,-18681
2018-05-14,1762894,0
2018-05-15,1762894,0
2018-05-17,1762894,0
2018-05-18,1755680,-7214
2018-05-19,1755680,0
2018-05-20,1755680,0
2018-05-21,1755680,0
2018-05-23,1800748,45068
2018-05-24,1800748,0
2018-05-25,1800748,0
2018-05-26,1800748,0
2018-05-27,1839490,38742
2018-05-28,1839490,0
2018-05-29,1839490,0
2018-05-30,1839490,0
2018-05-31,1839490,0
2018-06-01,1854250,14760
2018-06-02,1854250,0
2018-06-03,1854250,0
2018-06-04,1854250,0
2018-06-06,1873109,18859
2018-06-07,1873109,0
2018-06-08,1873109,0
2018-06-09,1873109,0
2018-06-10,1873109,0
2018-06-11,1882551,9442
2018-06-12,1882551,0
2018-06-13,1882551,0
2018-06-15,1885524,2973
2018-06-16,1885524,0
2018-06-17,1885524,0
2018-06-18,1885524,0
2018-06-20,2436451,550927
2018-06-21,2436451,0
2018-06-23,2436451,0
2018-06-25,3071857,635406
2018-06-26,3071857,0
2018-06-27,3071857,0
2018-06-29,3585503,513646
2018-07-01,3585503,0
2018-07-02,3585503,0
2018-07-03,3865490,279987
2018-07-04,3865490,0
2018-07-05,3865490,0
2018-07-06,3865490,0
2018-07-07,3865490,0
2018-07-08,4255649,390159
2018-07-09,4255649,0
2018-07-10,4255649,0
2018-07-12,4255649,0
2018-07-19,4710846,455197
2018-07-20,4710846,0
2018-07-21,4710846,0
2018-07-24,4593465,-117381
2018-07-25,4593465,0
2018-07-27,4533761,-59704
2018-07-28,4533761,0
2018-07-29,4533761,0
2018-07-30,4533761,0
2018-07-31,4533761,0
2018-08-01,4507600,-26161
2018-08-02,4501654,-5946
2018-08-03,4501654,0
2018-08-04,4501654,0
2018-08-05,4501654,0
2018-08-06,4501654,0
2018-08-07,4479851,-21803
2018-08-08,4479851,0
2018-08-09,4479851,0
2018-08-10,4461447,-18404
2018-08-11,4461447,0
2018-08-12,4461447,0
2018-08-13,4461447,0
2018-08-16,4442944,-18503
2018-08-17,4442944,0
2018-08-20,4419809,-23135
2018-08-24,4415620,-4189
2018-08-29,4419809,4189
2018-08-30,4419809,0
2018-09-06,4403419,-16390
2018-09-08,4369258,-34161
2018-09-09,4369258,0
2018-09-10,4369258,0
2018-09-11,4342382,-26876
2018-09-12,4342382,0
2018-09-13,4342382,0
2018-09-14,4342382,0
2018-09-15,4342382,0
2018-09-16,4342382,0
2018-09-17,4303740,-38642
2018-09-18,4303740,0
2018-09-19,4303740,0
2018-09-20,4303740,0
2018-09-21,4242133,-61607
2018-09-22,4242133,0
2018-09-23,4242133,0
2018-09-24,4242133,0
2018-09-25,4119880,-122253
2018-09-26,4119880,0
2018-09-27,4119880,0
2018-09-28,4119880,0
2018-09-29,4119880,0
2018-09-30,4053663,-66217
2018-10-01,4053663,0
2018-10-02,4053663,0
2018-10-03,4053663,0
2018-10-04,4027122,-26541
2018-10-06,4027122,0
2018-10-07,4027122,0
2018-10-08,4027122,0
2018-10-09,3965035,-62087
2018-10-10,3965035,0
2018-10-11,3965035,0
2018-10-12,3965035,0
2018-10-13,3965035,0
2018-10-14,3897619,-67416
2018-10-15,3897619,0
2018-10-16,3897619,0
2018-10-17,3897619,0
2018-10-18,3897619,0
2018-10-19,3855206,-42413
2018-10-20,3855206,0
2018-10-21,3855206,0
2018-10-22,3855206,0
2018-10-23,3855206,0
2018-10-24,3855206,0
2018-10-25,6842306,2987100
2018-10-26,6842306,0
2018-10-27,6842306,0
2018-10-28,6842306,0
2018-10-29,6842306,0
2018-10-30,10351440,3509134
2018-10-31,10351440,0
2018-11-01,10351440,0
2018-11-02,10351440,0
2018-11-04,12713582,2362142
2018-11-07,12713582,0
2018-11-08,12713582,0
2018-11-09,14596991,1883409
2018-11-10,14596991,0
2018-11-11,14596991,0
2018-11-12,14596991,0
2018-11-13,16297274,1700283
2018-11-14,16582181,284907
2018-11-15,16889742,307561
2018-11-16,17183836,294094
2018-11-17,17453701,269865
2018-11-18,17269190,-184511
2018-11-19,17303315,34125
2018-11-20,17347816,44501
2018-11-21,17346216,-1600
2018-11-22,17280436,-65780
2018-11-23,17187665,-92771
2018-11-24,17054624,-133041
2018-11-25,16894214,-160410
2018-11-26,16739279,-154935
2018-11-27,16621138,-118141
2018-11-28,16529375,-91763
2018-11-29,16462902,-66473
2018-11-30,16374973,-87929
2018-12-01,16284577,-90396
2018-12-02,16176053,-108524
2018-12-03,16094623,-81430
2018-12-04,16022789,-71834
2018-12-05,15944567,-78222
2018-12-06,15845092,-99475
2018-12-07,15741888,-103204
2018-12-08,15645441,-96447
2018-12-09,15521855,-123586
2018-12-10,15386307,-135548
2018-12-11,15290628,-95679
2018-12-12,15190737,-99891
2018-12-13,15073500,-117237
2018-12-14,14948435,-125065
2018-12-15,14826857,-121578
2018-12-16,14709418,-117439
2018-12-17,14570763,-138655
2018-12-18,14451072,-119691
2018-12-19,14333873,-117199
2018-12-20,14221793,-112080
2018-12-21,14106694,-115099
2018-12-22,14007483,-99211
2018-12-23,13918649,-88834
2018-12-24,13812565,-106084
2018-12-25,13725424,-87141
2018-12-26,13656683,-68741
2018-12-27,13549689,-106994
2018-12-28,13472241,-77448
2018-12-29,13423770,-48471
2018-12-30,13412076,-11694
2018-12-31,13397607,-14469
2019-01-01,13403461,5854
2019-01-02,13565038,161577
2019-01-03,13553472,-11566
2019-01-04,13581865,28393
2019-01-05,13645886,64021
2019-01-06,13720206,74320
2019-01-07,13795464,75258
2019-01-08,13848688,53224
2019-01-09,13900563,51875
2019-01-10,13941661,41098
2019-01-11,13976814,35153
2019-01-12,14014846,38032
2019-01-13,14049946,35100
2019-01-14,14084097,34151
2019-01-15,14123182,39085
2019-01-16,14133924,10742
2019-01-17,14116663,-17261
2019-01-18,14123734,7071
2019-01-19,14119587,-4147
2019-01-20,14091828,-27759
2019-01-21,14065067,-26761
2019-01-22,14035306,-29761
2019-01-23,13985281,-50025
2019-01-24,13964448,-20833
2019-01-25,13907960,-56488
2019-01-26,13832508,-75452
2019-01-27,13767174,-65334
2019-01-28,13694013,-73161
2019-01-29,13596291,-97722
2019-01-30,13338360,-257931
2019-01-31,13246293,-92067
2019-02-01,13125110,-121183
2019-02-02,12982374,-142736
2019-02-03,12828566,-153808
2019-02-04,12688890,-139676
2019-02-05,12576608,-112282
2019-02-06,12461522,-115086
2019-02-07,12349605,-111917
2019-02-08,12220235,-129370
2019-02-09,12093857,-126378
2019-02-10,11980683,-113174
2019-02-11,11864704,-115979
2019-02-12,11753735,-110969
2019-02-13,11660241,-93494
2019-02-14,11584288,-75953
2019-02-15,11500311,-83977
2019-02-16,11383216,-117095
2019-02-17,11306114,-77102
2019-02-18,11258632,-47482
2019-02-19,11218248,-40384
2019-02-20,11176302,-41946
2019-02-21,11148642,-27660
2019-02-22,11116699,-31943
2019-02-24,10994603,-122096
2019-02-25,10959983,-34620
2019-02-26,10933524,-26459
2019-02-27,10911322,-22202
2019-03-02,10825258,-86064
2019-03-03,10801843,-23415
2019-03-04,10777365,-24478
2019-03-05,10749186,-28179
2019-03-06,10727130,-22056
2019-03-07,10704697,-22433
2019-03-08,10670330,-34367
2019-03-09,10639181,-31149
2019-03-10,10593126,-46055
2019-03-11,10549169,-43957
2019-03-12,10508745,-40424
2019-03-13,10456544,-52201
2019-03-14,10402514,-54030
2019-03-15,10344499,-58015
2019-03-16,10300099,-44400
2019-03-17,10250485,-49614
2019-03-18,10208600,-41885
2019-03-19,10177172,-31428
