Date,Subscribers,Difference
2016-11-09,1431003,
2016-11-10,1439725,8722
2016-11-11,1448460,8735
2016-11-12,1458075,9615
2016-11-13,1467542,9467
2016-11-14,1475393,7851
2016-11-15,1481486,6093
2016-11-16,1487628,6142
2016-11-17,1494804,7176
2016-11-18,1502793,7989
2016-11-19,1511938,9145
2016-11-20,1524269,12331
2016-11-21,1535022,10753
2016-11-22,1542693,7671
2016-11-23,1549793,7100
2016-11-24,1556996,7203
2016-11-25,1563830,6834
2016-11-26,1571771,7941
2016-11-27,1580968,9197
2016-11-28,1589465,8497
2016-11-29,1596036,6571
2016-11-30,1602436,6400
2016-12-01,1608227,5791
2016-12-02,1614422,6195
2016-12-03,1620841,6419
2016-12-04,1628644,7803
2016-12-05,1635839,7195
2016-12-06,1641533,5694
2016-12-08,1652014,10481
2016-12-09,1657645,5631
2016-12-10,1664118,6473
2016-12-11,1671817,7699
2016-12-12,1679020,7203
2016-12-13,1685588,6568
2016-12-14,1691219,5631
2016-12-15,1697029,5810
2016-12-16,1702657,5628
2016-12-17,1709159,6502
2016-12-18,1715901,6742
2016-12-19,1721979,6078
2016-12-20,1727702,5723
2016-12-21,1733492,5790
2016-12-22,1739458,5966
2016-12-23,1745560,6102
2016-12-24,1752528,6968
2016-12-25,1758264,5736
2016-12-26,1763813,5549
2016-12-27,1772578,8765
2016-12-28,1781751,9173
2016-12-29,1789546,7795
2016-12-30,1797068,7522
2016-12-31,1805069,8001
2017-01-01,1811622,6553
2017-01-02,1818579,6957
2017-01-03,1825153,6574
2017-01-04,1831233,6080
2017-01-05,1836993,5760
2017-01-06,1843134,6141
2017-01-07,1849961,6827
2017-01-08,1857431,7470
2017-01-09,1863565,6134
2017-01-10,1868868,5303
2017-01-11,1874423,5555
2017-01-12,1879883,5460
2017-01-13,1885605,5722
2017-01-14,1892286,6681
2017-01-15,1899358,7072
2017-01-16,1905688,6330
2017-01-17,1911494,5806
2017-01-18,1916953,5459
2017-01-19,1923165,6212
2017-01-20,1931376,8211
2017-01-21,1940537,9161
2017-01-22,1948326,7789
2017-01-23,1955070,6744
2017-01-24,1961005,5935
2017-01-25,1967052,6047
2017-01-26,1972297,5245
2017-01-27,1979010,6713
2017-01-28,1986248,7238
2017-01-29,1993312,7064
2017-01-30,1999501,6189
2017-01-31,2006588,7087
2017-02-01,2013886,7298
2017-02-02,2020600,6714
2017-02-03,2027630,7030
2017-02-04,2034533,6903
2017-02-05,2042218,7685
2017-02-06,2048238,6020
2017-02-07,2053582,5344
2017-02-08,2058542,4960
2017-02-09,2064029,5487
2017-02-10,2069918,5889
2017-02-11,2076567,6649
2017-02-12,2083638,7071
2017-02-13,2089664,6026
2017-02-14,2094586,4922
2017-02-15,2099307,4721
2017-02-16,2104441,5134
2017-02-17,2109739,5298
2017-02-19,2122854,13115
2017-02-20,2129029,6175
2017-02-21,2134384,5355
2017-02-22,2139780,5396
2017-02-23,2146291,6511
2017-02-24,2152612,6321
2017-02-25,2161111,8499
2017-02-26,2168231,7120
2017-02-27,2174128,5897
2017-02-28,2179429,5301
2017-03-01,2184474,5045
2017-03-02,2189292,4818
2017-03-03,2194514,5222
2017-03-04,2200813,6299
2017-03-05,2207666,6853
2017-03-06,2213151,5485
2017-03-07,2217992,4841
2017-03-08,2222913,4921
2017-03-09,2227400,4487
2017-03-10,2232280,4880
2017-03-11,2237989,5709
2017-03-12,2244327,6338
2017-03-13,2249298,4971
2017-03-14,2253850,4552
2017-03-15,2258515,4665
2017-03-16,2263433,4918
2017-03-17,2268312,4879
2017-03-18,2273474,5162
2017-03-19,2279564,6090
2017-03-20,2284473,4909
2017-03-21,2289042,4569
2017-03-22,2293633,4591
2017-03-23,2298334,4701
2017-03-24,2303229,4895
2017-03-25,2308540,5311
2017-03-26,2314211,5671
2017-03-27,2319052,4841
2017-03-28,2323332,4280
2017-03-29,2327411,4079
2017-03-30,2331828,4417
2017-03-31,2336284,4456
2017-04-01,2341641,5357
2017-04-02,2347070,5429
2017-04-03,2351877,4807
2017-04-04,2356291,4414
2017-04-05,2360827,4536
2017-04-06,2366027,5200
2017-04-11,2391918,25891
2017-04-12,2397159,5241
2017-04-13,2402466,5307
2017-04-14,2407509,5043
2017-04-15,2413276,5767
2017-04-16,2418785,5509
2017-04-17,2423713,4928
2017-04-18,2428586,4873
2017-04-19,2433063,4477
2017-04-20,2437881,4818
2017-04-21,2442879,4998
2017-04-22,2448080,5201
2017-04-23,2453589,5509
2017-04-24,2458398,4809
2017-04-25,2462840,4442
2017-04-26,2467235,4395
2017-04-27,2471604,4369
2017-04-28,2476300,4696
2017-04-29,2481704,5404
2017-04-30,2487467,5763
2017-05-01,2492763,5296
2017-05-02,2497671,4908
2017-05-03,2501622,3951
2017-05-04,2506137,4515
2017-05-05,2510693,4556
2017-05-06,2515539,4846
2017-05-07,2520957,5418
2017-05-08,2525401,4444
2017-05-09,2529524,4123
2017-05-10,2533959,4435
2017-05-11,2538796,4837
2017-05-12,2543610,4814
2017-05-13,2549081,5471
2017-05-14,2555065,5984
2017-05-15,2559968,4903
2017-05-16,2564983,5015
2017-05-17,2569855,4872
2017-05-18,2574781,4926
2017-05-19,2579592,4811
2017-05-20,2585251,5659
2017-05-21,2591178,5927
2017-05-22,2595951,4773
2017-05-23,2600877,4926
2017-05-24,2605798,4921
2017-05-25,2610884,5086
2017-05-26,2615680,4796
2017-05-27,2621303,5623
2017-05-28,2627036,5733
2017-05-29,2632153,5117
2017-05-30,2636623,4470
2017-05-31,2641272,4649
2017-06-01,2646338,5066
2017-06-02,2651146,4808
2017-06-03,2656484,5338
2017-06-04,2662377,5893
2017-06-05,2667620,5243
2017-06-06,2672665,5045
2017-06-07,2677721,5056
2017-06-08,2682276,4555
2017-06-09,2687964,5688
2017-06-10,2694140,6176
2017-06-11,2700731,6591
2017-06-12,2706600,5869
2017-06-13,2710903,4303
2017-06-14,2716652,5749
2017-06-15,2722502,5850
2017-06-16,2728051,5549
2017-06-17,2734711,6660
2017-06-18,2741310,6599
2017-06-19,2747715,6405
2017-06-20,2771316,23601
2017-06-21,2812237,40921
2017-06-22,2852208,39971
2017-06-23,3027590,175382
2017-06-24,3090419,62829
2017-06-25,3140219,49800
2017-06-26,3172694,32475
2017-06-27,3184960,12266
2017-06-28,3203101,18141
2017-06-29,3218917,15816
2017-06-30,3232899,13982
2017-07-01,3249368,16469
2017-07-02,3264586,15218
2017-07-03,3279505,14919
2017-07-04,3292905,13400
2017-07-05,3304353,11448
2017-07-06,3316518,12165
2017-07-07,3329099,12581
2017-07-08,3343461,14362
2017-07-09,3358519,15058
2017-07-10,3372221,13702
2017-07-11,3383820,11599
2017-07-12,3393818,9998
2017-07-13,3404682,10864
2017-07-14,3426061,21379
2017-07-15,3442146,16085
2017-07-16,3457774,15628
2017-07-17,3470545,12771
2017-07-18,3486099,15554
2017-07-19,3498034,11935
2017-07-20,3509651,11617
2017-07-21,3521856,12205
2017-07-22,3535112,13256
2017-07-23,3547572,12460
2017-07-24,3560506,12934
2017-07-25,3570274,9768
2017-07-26,3580220,9946
2017-07-27,3589958,9738
2017-07-28,3600379,10421
2017-07-29,3611815,11436
2017-07-30,3623394,11579
2017-07-31,3633107,9713
2017-08-01,3635534,2427
2017-08-02,3644970,9436
2017-08-03,3653920,8950
2017-08-04,3663607,9687
2017-08-05,3674602,10995
2017-08-06,3685752,11150
2017-08-07,3695065,9313
2017-08-08,3705881,10816
2017-08-09,3715714,9833
2017-08-10,3725097,9383
2017-08-11,3734724,9627
2017-08-12,3745640,10916
2017-08-13,3756750,11110
2017-08-14,3769865,13115
2017-08-15,3780543,10678
2017-08-16,3789808,9265
2017-08-17,3800105,10297
2017-08-18,3809179,9074
2017-08-19,3820280,11101
2017-08-20,3831665,11385
2017-08-21,3841008,9343
2017-08-22,3849563,8555
2017-08-23,3856780,7217
2017-08-24,3864712,7932
2017-08-25,3873265,8553
2017-08-26,3882684,9419
2017-08-27,3893340,10656
2017-08-28,3901887,8547
2017-08-29,3909727,7840
2017-08-30,3918303,8576
2017-08-31,3927304,9001
2017-09-01,3936824,9520
2017-09-02,3947665,10841
2017-09-03,3958318,10653
2017-09-04,3966800,8482
2017-09-05,3975131,8331
2017-09-06,3983012,7881
2017-09-07,3990410,7398
2017-09-08,3998947,8537
2017-09-09,4009456,10509
2017-09-10,4019933,10477
2017-09-11,4028314,8381
2017-09-12,4035431,7117
2017-09-13,4042916,7485
2017-09-14,4049697,6781
2017-09-15,4058250,8553
2017-09-16,4066593,8343
2017-09-17,4075898,9305
2017-09-18,4088199,12301
2017-09-19,4097502,9303
2017-09-20,4102954,5452
2017-09-21,4115640,12686
2017-09-22,4123642,8002
2017-09-23,4133769,10127
2017-09-24,4143912,10143
2017-09-25,4151318,7406
2017-09-26,4156166,4848
2017-09-27,4164602,8436
2017-09-28,4171448,6846
2017-09-29,4179092,7644
2017-09-30,4184755,5663
2017-10-01,4194356,9601
2017-10-02,4205316,10960
2017-10-03,4212003,6687
