Date,Videos,Difference
2016-11-09,27,
2016-11-10,27,0
2016-11-11,27,0
2016-11-12,27,0
2016-11-13,27,0
2016-11-14,27,0
2016-11-15,27,0
2016-11-16,27,0
2016-11-17,27,0
2016-11-18,27,0
2016-11-19,27,0
2016-11-20,29,2
2016-11-21,29,0
2016-11-22,29,0
2016-11-23,29,0
2016-11-24,29,0
2016-11-25,29,0
2016-11-26,29,0
2016-11-27,30,1
2016-11-28,30,0
2016-11-29,30,0
2016-11-30,30,0
2016-12-01,30,0
2016-12-02,30,0
2016-12-03,30,0
2016-12-04,31,1
2016-12-05,31,0
2016-12-06,31,0
2016-12-08,31,0
2016-12-09,31,0
2016-12-10,31,0
2016-12-11,32,1
2016-12-12,32,0
2016-12-13,32,0
2016-12-14,32,0
2016-12-15,32,0
2016-12-16,32,0
2016-12-17,32,0
2016-12-18,32,0
2016-12-19,32,0
2016-12-20,32,0
2016-12-21,32,0
2016-12-22,32,0
2016-12-23,32,0
2016-12-24,32,0
2016-12-25,32,0
2016-12-26,32,0
2016-12-27,33,1
2016-12-28,33,0
2016-12-29,33,0
2016-12-30,33,0
2016-12-31,33,0
2017-01-01,33,0
2017-01-02,33,0
2017-01-03,33,0
2017-01-04,33,0
2017-01-05,33,0
2017-01-06,33,0
2017-01-07,33,0
2017-01-08,33,0
2017-01-09,33,0
2017-01-10,33,0
2017-01-11,33,0
2017-01-12,33,0
2017-01-13,33,0
2017-01-14,33,0
2017-01-15,33,0
2017-01-16,33,0
2017-01-17,33,0
2017-01-18,33,0
2017-01-19,34,1
2017-01-20,35,1
2017-01-21,35,0
2017-01-22,35,0
2017-01-23,35,0
2017-01-24,35,0
2017-01-25,35,0
2017-01-26,35,0
2017-01-27,35,0
2017-01-28,35,0
2017-01-29,35,0
2017-01-30,35,0
2017-01-31,35,0
2017-02-01,35,0
2017-02-02,35,0
2017-02-03,35,0
2017-02-04,35,0
2017-02-05,35,0
2017-02-06,35,0
2017-02-07,35,0
2017-02-08,35,0
2017-02-09,35,0
2017-02-10,35,0
2017-02-11,35,0
2017-02-12,35,0
2017-02-13,35,0
2017-02-14,35,0
2017-02-15,35,0
2017-02-16,35,0
2017-02-17,35,0
2017-02-19,35,0
2017-02-20,35,0
2017-02-21,35,0
2017-02-22,35,0
2017-02-23,35,0
2017-02-24,35,0
2017-02-25,35,0
2017-02-26,35,0
2017-02-27,35,0
2017-02-28,35,0
2017-03-01,35,0
2017-03-02,35,0
2017-03-03,35,0
2017-03-04,35,0
2017-03-05,35,0
2017-03-06,35,0
2017-03-07,35,0
2017-03-08,35,0
2017-03-09,35,0
2017-03-10,35,0
2017-03-11,35,0
2017-03-12,35,0
2017-03-13,35,0
2017-03-14,35,0
2017-03-15,35,0
2017-03-16,35,0
2017-03-17,35,0
2017-03-18,35,0
2017-03-19,35,0
2017-03-20,35,0
2017-03-21,35,0
2017-03-22,35,0
2017-03-23,35,0
2017-03-24,35,0
2017-03-25,35,0
2017-03-26,35,0
2017-03-27,35,0
2017-03-28,35,0
2017-03-29,35,0
2017-03-30,35,0
2017-03-31,35,0
2017-04-01,35,0
2017-04-02,35,0
2017-04-03,35,0
2017-04-04,35,0
2017-04-05,35,0
2017-04-06,35,0
2017-04-11,35,0
2017-04-12,35,0
2017-04-13,35,0
2017-04-14,35,0
2017-04-15,35,0
2017-04-16,35,0
2017-04-17,35,0
2017-04-18,35,0
2017-04-19,35,0
2017-04-20,35,0
2017-04-21,35,0
2017-04-22,35,0
2017-04-23,35,0
2017-04-24,35,0
2017-04-25,35,0
2017-04-26,35,0
2017-04-27,35,0
2017-04-28,35,0
2017-04-29,35,0
2017-04-30,35,0
2017-05-01,35,0
2017-05-02,35,0
2017-05-03,35,0
2017-05-04,35,0
2017-05-05,35,0
2017-05-06,35,0
2017-05-07,35,0
2017-05-08,35,0
2017-05-09,35,0
2017-05-10,35,0
2017-05-11,35,0
2017-05-12,35,0
2017-05-13,35,0
2017-05-14,35,0
2017-05-15,35,0
2017-05-16,35,0
2017-05-17,35,0
2017-05-18,35,0
2017-05-19,35,0
2017-05-20,35,0
2017-05-21,35,0
2017-05-22,35,0
2017-05-23,35,0
2017-05-24,35,0
2017-05-25,35,0
2017-05-26,35,0
2017-05-27,35,0
2017-05-28,35,0
2017-05-29,35,0
2017-05-30,35,0
2017-05-31,35,0
2017-06-01,35,0
2017-06-02,35,0
2017-06-03,35,0
2017-06-04,35,0
2017-06-05,35,0
2017-06-06,35,0
2017-06-07,35,0
2017-06-08,35,0
2017-06-09,35,0
2017-06-10,35,0
2017-06-11,35,0
2017-06-12,35,0
2017-06-13,35,0
2017-06-14,35,0
2017-06-15,35,0
2017-06-16,35,0
2017-06-17,35,0
2017-06-18,35,0
2017-06-19,35,0
2017-06-20,36,1
2017-06-21,37,1
2017-06-22,37,0
2017-06-23,39,2
2017-06-24,39,0
2017-06-25,41,2
2017-06-26,41,0
2017-06-27,41,0
2017-06-28,41,0
2017-06-29,41,0
2017-06-30,41,0
2017-07-01,41,0
2017-07-02,42,1
2017-07-03,42,0
2017-07-04,42,0
2017-07-05,42,0
2017-07-06,42,0
2017-07-07,42,0
2017-07-08,43,1
2017-07-09,44,1
2017-07-10,44,0
2017-07-11,44,0
2017-07-12,44,0
2017-07-13,44,0
2017-07-14,45,1
2017-07-15,46,1
2017-07-16,48,2
2017-07-17,49,1
2017-07-18,50,1
2017-07-19,50,0
2017-07-20,50,0
2017-07-21,50,0
2017-07-22,50,0
2017-07-23,51,1
2017-07-24,51,0
2017-07-25,51,0
2017-07-26,51,0
2017-07-27,51,0
2017-07-28,51,0
2017-07-29,51,0
2017-07-30,51,0
2017-07-31,51,0
2017-08-01,51,0
2017-08-02,51,0
2017-08-03,51,0
2017-08-04,51,0
2017-08-05,51,0
2017-08-06,51,0
2017-08-07,51,0
2017-08-08,51,0
2017-08-09,51,0
2017-08-10,51,0
2017-08-11,51,0
2017-08-12,51,0
2017-08-13,51,0
2017-08-14,54,3
2017-08-15,54,0
2017-08-16,54,0
2017-08-17,54,0
2017-08-18,54,0
2017-08-19,54,0
2017-08-20,54,0
2017-08-21,54,0
2017-08-22,54,0
2017-08-23,54,0
2017-08-24,54,0
2017-08-25,54,0
2017-08-26,55,1
2017-08-27,55,0
2017-08-28,55,0
2017-08-29,55,0
2017-08-30,55,0
2017-08-31,55,0
2017-09-01,55,0
2017-09-02,55,0
2017-09-03,55,0
2017-09-04,55,0
2017-09-05,55,0
2017-09-06,55,0
2017-09-07,55,0
2017-09-08,55,0
2017-09-09,55,0
2017-09-10,55,0
2017-09-11,55,0
2017-09-12,55,0
2017-09-13,55,0
2017-09-14,55,0
2017-09-15,55,0
2017-09-16,55,0
2017-09-17,55,0
2017-09-18,55,0
2017-09-19,55,0
2017-09-20,55,0
2017-09-21,55,0
2017-09-22,55,0
2017-09-23,55,0
2017-09-24,55,0
2017-09-25,55,0
2017-09-26,55,0
2017-09-27,55,0
2017-09-28,55,0
2017-09-29,55,0
2017-09-30,55,0
2017-10-01,55,0
2017-10-02,56,1
2017-10-03,56,0
2017-10-04,56,0
2017-10-05,56,0
2017-10-06,56,0
2017-10-07,56,0
2017-10-08,56,0
2017-10-09,56,0
2017-10-10,56,0
2017-10-11,56,0
2017-10-12,56,0
2017-10-13,56,0
2017-10-14,56,0
2017-10-15,56,0
2017-10-16,56,0
2017-10-17,56,0
2017-10-18,56,0
2017-10-19,56,0
2017-10-20,56,0
2017-10-21,56,0
2017-10-22,56,0
2017-10-23,56,0
2017-10-24,56,0
2017-10-25,56,0
2017-10-26,56,0
2017-10-27,56,0
2017-10-28,56,0
2017-10-29,56,0
2017-10-30,56,0
2017-10-31,56,0
2017-11-01,56,0
2017-11-02,56,0
2017-11-03,56,0
2017-11-04,57,1
2017-11-05,57,0
2017-11-06,57,0
2017-11-07,57,0
2017-11-08,57,0
2017-11-09,57,0
2017-11-10,57,0
2017-11-11,57,0
2017-11-12,57,0
2017-11-13,57,0
2017-11-14,57,0
2017-11-15,57,0
2017-11-16,57,0
2017-11-17,57,0
2017-11-18,57,0
2017-11-19,57,0
2017-11-20,57,0
2017-11-21,57,0
2017-11-22,57,0
2017-11-23,58,1
2017-11-24,58,0
2017-11-25,58,0
2017-11-26,58,0
2017-11-27,58,0
2017-11-28,58,0
2017-11-29,58,0
2017-11-30,58,0
2017-12-01,58,0
2017-12-02,58,0
2017-12-03,59,1
2017-12-04,59,0
2017-12-05,59,0
2017-12-06,59,0
2017-12-07,59,0
2017-12-08,59,0
2017-12-09,59,0
2017-12-10,59,0
2017-12-11,59,0
2017-12-12,59,0
2017-12-13,59,0
2017-12-17,59,0
2017-12-18,59,0
2017-12-19,59,0
2017-12-20,59,0
2017-12-21,59,0
2017-12-22,59,0
2017-12-23,59,0
2017-12-24,59,0
2017-12-25,59,0
2017-12-26,62,3
2017-12-27,62,0
2017-12-28,66,4
2017-12-29,67,1
2017-12-30,67,0
2017-12-31,67,0
2018-01-01,67,0
2018-01-02,67,0
2018-01-03,68,1
2018-01-04,68,0
2018-01-05,69,1
2018-01-06,70,1
2018-01-07,77,7
2018-01-08,75,-2
2018-01-09,75,0
2018-01-10,76,1
2018-01-11,77,1
2018-01-12,77,0
2018-01-13,78,1
2018-01-14,82,4
2018-01-15,83,1
2018-01-16,83,0
2018-01-17,83,0
2018-01-18,83,0
2018-01-19,83,0
2018-01-20,84,1
2018-01-21,88,4
2018-01-22,89,1
2018-01-23,89,0
2018-01-24,89,0
2018-01-25,89,0
2018-01-27,91,2
2018-01-29,96,5
2018-01-31,96,0
2018-02-01,96,0
2018-02-03,97,1
2018-02-05,102,5
2018-02-07,102,0
2018-02-09,103,1
2018-02-11,108,5
2018-02-13,109,1
2018-02-15,109,0
2018-02-17,109,0
2018-02-19,115,6
2018-02-21,115,0
2018-02-23,115,0
2018-02-25,120,5
2018-02-26,121,1
2018-02-27,121,0
2018-03-01,121,0
2018-03-03,122,1
2018-03-05,127,5
2018-03-07,127,0
2018-03-09,128,1
2018-03-11,133,5
2018-03-13,134,1
2018-03-15,135,1
2018-03-17,135,0
2018-03-19,141,6
2018-03-21,142,1
2018-03-23,142,0
2018-03-25,143,1
2018-03-27,143,0
2018-03-29,143,0
2018-03-31,143,0
2018-04-01,143,0
2018-04-03,143,0
2018-04-05,143,0
2018-04-07,143,0
2018-04-09,143,0
2018-04-11,143,0
2018-04-13,143,0
2018-04-15,143,0
2018-04-17,143,0
2018-04-19,143,0
2018-04-21,143,0
2018-04-23,143,0
2018-04-25,143,0
2018-04-27,143,0
2018-04-29,143,0
2018-05-01,143,0
2018-05-03,143,0
2018-05-05,143,0
2018-05-07,143,0
2018-05-09,143,0
2018-05-11,143,0
2018-05-13,143,0
2018-05-15,143,0
2018-05-17,143,0
2018-05-19,143,0
2018-05-21,143,0
2018-05-23,143,0
2018-05-25,143,0
2018-05-27,143,0
2018-05-29,143,0
2018-05-31,143,0
2018-06-01,143,0
2018-06-03,143,0
2018-06-05,143,0
2018-06-07,145,2
2018-06-09,147,2
2018-06-11,147,0
2018-06-13,147,0
2018-06-15,148,1
2018-06-17,151,3
2018-06-19,154,3
2018-06-21,155,1
2018-06-23,155,0
2018-06-25,156,1
2018-06-27,156,0
2018-06-29,157,1
2018-07-01,157,0
2018-07-03,158,1
2018-07-04,159,1
2018-07-05,159,0
2018-07-07,159,0
2018-07-09,160,1
2018-07-11,163,3
2018-07-13,164,1
2018-07-15,165,1
2018-07-17,166,1
2018-07-19,167,1
2018-07-21,167,0
2018-07-23,168,1
2018-07-25,169,1
2018-07-27,170,1
2018-07-29,170,0
2018-07-31,170,0
2018-08-01,170,0
2018-08-03,170,0
2018-08-05,170,0
2018-08-07,171,1
2018-08-09,171,0
2018-08-11,171,0
2018-08-13,171,0
2018-08-15,172,1
2018-08-17,172,0
2018-08-19,178,6
2018-08-21,178,0
2018-08-23,178,0
2018-08-25,179,1
2018-08-27,179,0
2018-08-29,179,0
2018-08-31,179,0
2018-09-01,179,0
2018-09-03,179,0
2018-09-05,179,0
2018-09-07,179,0
2018-09-09,179,0
2018-09-11,179,0
2018-09-13,180,1
2018-09-15,182,2
2018-09-17,182,0
2018-09-18,182,0
2018-09-19,182,0
2018-09-21,182,0
2018-09-23,182,0
2018-09-25,182,0
2018-09-27,182,0
2018-09-29,182,0
2018-10-01,182,0
2018-10-03,182,0
2018-10-05,182,0
