Country Code,Country,Subscribers,Percent
ID,Indonesia,7129856,16.82
BR,Brazil,5537016,13.06
US,United States,4475150,10.55
PH,Philippines,4020028,9.48
TH,Thailand,3261535,7.69
CA,Canada,1213615,2.86
VN,Vietnam,1137761,2.68
MY,Malaysia,910200,2.15
IN,India,834347,1.97
RU,Russia,834347,1.97
PL,Poland,682640,1.61
ES,Spain,606786,1.43
FR,France,606786,1.43
GB,United Kingdom,606786,1.43
KR,South Korea,606786,1.43
CL,Chile,606786,1.43
PE,Peru,606786,1.43
TR,Turkey,606786,1.43
MX,Mexico,530932,1.25
AR,Argentina,530932,1.25
CO,Colombia,530932,1.25
JP,Japan,455079,1.07
SG,Singapore,455079,1.07
