index,artist_name,track_name,danceability,energy,key,loudness,speechiness,accousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date
1,BTS,Life Goes On,0.566,0.716,1,-5.733,0.0424,0.00691,0,0.37,0.45,81.068,207481,2020-11-20
2,BTS,Fly To My Room,0.764,0.526,11,-7.355,0.212,0.0484,0,0.0718,0.588,114.91,222243,2020-11-20
3,BTS,Blue & Grey,0.547,0.605,8,-6.755,0.0415,0.42,0,0.125,0.364,121.953,254950,2020-11-20
4,BTS,Skit,0.703,0.321,4,-13.135,0.884,0.864,0,0.908,0.544,114.822,179548,2020-11-20
5,BTS,Telepathy,0.787,0.669,5,-4.333,0.0428,0.00782,0,0.123,0.57,104.994,202313,2020-11-20
6,BTS,Dis-ease,0.731,0.845,8,-5.352,0.132,0.0132,0,0.0782,0.484,101.085,239722,2020-11-20
7,BTS,Stay,0.582,0.693,6,-5.048,0.0465,0.114,0,0.13,0.341,125.904,204800,2020-11-20
8,BTS,Dynamite,0.746,0.765,6,-4.41,0.0993,0.0112,0,0.0936,0.737,114.044,199054,2020-11-20
9,BTS,내 방을 여행하는 법,0.764,0.526,11,-7.355,0.212,0.0484,0,0.0718,0.588,114.91,222243,2020-11-20
10,BTS,잠시,0.787,0.669,5,-4.333,0.0428,0.00782,0,0.123,0.57,104.994,202313,2020-11-20
11,BTS,병,0.731,0.845,8,-5.352,0.132,0.0132,0,0.0782,0.484,101.085,239722,2020-11-20
12,BTS,INTRO : Calling,0.486,0.61,10,-12.063,0.0348,0.582,0.791,0.144,0.0806,144.992,84613,2020-07-14
13,BTS,Stay Gold,0.723,0.634,1,-5.415,0.0542,0.0892,0,0.0787,0.582,129.017,243267,2020-07-14
14,BTS,Boy With Luv - Japanese ver.,0.673,0.855,11,-4.65,0.089,0.0661,0,0.209,0.78,119.917,230013,2020-07-14
15,BTS,Make It Right - Japanese ver.,0.571,0.703,7,-7.401,0.468,0.0163,0,0.262,0.238,104.067,225520,2020-07-14
16,BTS,Dionysus - Japanese ver.,0.455,0.893,7,-3.712,0.148,0.0218,0,0.358,0.588,175.992,248907,2020-07-14
17,BTS,IDOL - Japanese ver.,0.705,0.754,6,-5.453,0.0895,0.000331,0,0.129,0.422,126.014,223213,2020-07-14
18,BTS,Airplane pt.2 - Japanese ver.,0.752,0.782,0,-5.173,0.0297,0.04,1.04e-06,0.0841,0.901,139.994,220053,2020-07-14
19,BTS,FAKE LOVE - Japanese ver.,0.546,0.682,2,-5.628,0.039,0.00362,0,0.295,0.433,154.923,243533,2020-07-14
20,BTS,Black Swan - Japanese ver.,0.714,0.736,2,-5.724,0.0819,0.166,0,0.133,0.536,147.037,198760,2020-07-14
21,BTS,ON - Japanese ver.,0.598,0.821,9,-5.653,0.114,0.119,0,0.298,0.428,105.991,247987,2020-07-14
22,BTS,Lights,0.608,0.644,5,-5.588,0.0314,0.156,0,0.124,0.431,99.005,292853,2020-07-14
23,BTS,Your eyes tell,0.449,0.491,9,-6.433,0.029,0.279,0,0.0654,0.258,139.923,245147,2020-07-14
24,BTS,OUTRO : The Journey,0.523,0.455,9,-14.26,0.0632,0.704,0.459,0.135,0.165,136.959,76507,2020-07-14
25,BTS,Intro : Persona,0.486,0.871,9,-4.475,0.337,0.0278,0,0.313,0.659,85.411,171023,2019-04-12
26,BTS,Boy With Luv (Feat. Halsey),0.645,0.862,11,-4.761,0.0845,0.0933,0,0.193,0.803,119.947,229773,2020-02-21
27,BTS,Make It Right,0.639,0.706,7,-7.874,0.448,0.0104,0,0.132,0.259,105.782,226321,2019-04-12
28,BTS,Jamais Vu,0.608,0.47,8,-6.73,0.0428,0.226,0,0.0963,0.241,81.0,227275,2019-04-12
29,BTS,Dionysus,0.502,0.91,7,-2.769,0.107,0.04,0,0.319,0.588,176.084,249215,2019-04-12
30,BTS,Interlude : Shadow,0.384,0.798,9,-6.439,0.434,0.115,0,0.181,0.146,149.854,259821,2020-02-21
31,BTS,Black Swan,0.719,0.757,2,-5.167,0.0849,0.137,0,0.129,0.489,147.024,198261,2020-02-21
32,BTS,Filter,0.779,0.762,10,-5.188,0.0631,0.0224,0,0.121,0.859,110.043,180221,2020-02-21
33,BTS,My Time,0.674,0.641,0,-5.139,0.0339,0.149,0,0.0925,0.664,99.91,234458,2020-02-21
34,BTS,Louder than bombs,0.643,0.667,0,-6.947,0.151,0.0432,0,0.0904,0.478,145.999,217404,2020-02-21
35,BTS,ON,0.583,0.817,9,-5.146,0.099,0.118,0,0.338,0.437,105.935,246381,2020-02-21
36,BTS,UGH!,0.72,0.824,10,-5.086,0.128,0.0394,0,0.0509,0.333,165.996,225012,2020-02-21
37,BTS,00:00 (Zero O’Clock),0.56,0.547,1,-6.456,0.0675,0.0806,0,0.11,0.199,157.962,250296,2020-02-21
38,BTS,Inner Child,0.589,0.696,11,-7.981,0.0725,0.017,0,0.0808,0.33,134.953,233266,2020-02-21
39,BTS,Friends,0.55,0.747,1,-5.211,0.0407,0.0668,0,0.0536,0.649,79.979,199339,2020-02-21
40,BTS,Moon,0.704,0.646,6,-6.658,0.0596,0.0104,0,0.191,0.64,141.87,208590,2020-02-21
41,BTS,Respect,0.661,0.838,0,-4.806,0.116,0.00491,0,0.287,0.526,91.463,237540,2020-02-21
42,BTS,We are Bulletproof : the Eternal,0.522,0.574,9,-5.225,0.0317,0.224,0,0.108,0.176,84.044,261543,2020-02-21
43,BTS,Outro : Ego,0.808,0.903,0,-3.106,0.0957,0.0121,0.000248,0.0993,0.473,116.988,196199,2020-02-21
44,BTS,ON (Feat. Sia),0.591,0.848,9,-4.396,0.0828,0.137,0,0.372,0.385,105.924,246816,2020-02-21
45,BTS,작은 것들을 위한 시 (Boy With Luv) [feat. Halsey],0.645,0.862,11,-4.761,0.0845,0.0933,0,0.193,0.803,119.947,229773,2020-02-21
46,BTS,욱 (UGH!),0.72,0.824,10,-5.086,0.128,0.0394,0,0.0509,0.333,165.996,225012,2020-02-21
47,BTS,친구,0.55,0.747,1,-5.211,0.0407,0.0668,0,0.0536,0.649,79.979,199339,2020-02-21
48,BTS,Boy With Luv (feat. Halsey),0.645,0.862,11,-4.761,0.0845,0.0933,0,0.193,0.803,119.947,229773,2019-04-12
49,BTS,Mikrokosmos,0.579,0.858,8,-5.212,0.114,0.125,0,0.0502,0.475,174.043,224225,2019-04-12
50,BTS,HOME,0.633,0.799,7,-4.625,0.0427,0.0144,0,0.194,0.534,142.991,234178,2019-04-12
51,BTS,작은 것들을 위한 시 (Boy With Luv) (feat. Halsey),0.645,0.862,11,-4.761,0.0845,0.0933,0,0.193,0.803,119.947,229773,2019-04-12
52,BTS,소우주 (Mikrokosmos),0.579,0.858,8,-5.212,0.114,0.125,0,0.0502,0.475,174.043,224225,2019-04-12
53,BTS,Euphoria,0.637,0.799,2,-4.518,0.0338,0.394,0,0.0921,0.57,104.996,228615,2018-08-24
54,BTS,Trivia 起 : Just Dance,0.723,0.906,1,-4.777,0.281,0.0929,0,0.0771,0.393,125.023,225221,2018-08-24
55,BTS,Serendipity - Full Length Edition,0.422,0.578,8,-7.524,0.0548,0.443,0,0.231,0.227,128.921,276708,2018-08-24
56,BTS,DNA,0.599,0.775,1,-3.997,0.0542,0.022,0,0.0669,0.703,129.817,223123,2018-08-24
57,BTS,보조개,0.612,0.844,5,-4.694,0.0757,0.14,0,0.289,0.652,134.872,196776,2018-08-24
58,BTS,Trivia 承 : Love,0.761,0.761,5,-5.721,0.0899,0.242,0,0.103,0.484,121.971,225698,2018-08-24
59,BTS,Her,0.48,0.927,3,-5.704,0.27,0.317,0,0.0583,0.45,88.804,228613,2018-08-24
60,BTS,Singularity,0.775,0.272,1,-9.126,0.091,0.56,0.00278,0.112,0.198,103.991,196998,2018-08-24
61,BTS,FAKE LOVE,0.557,0.719,2,-4.515,0.0371,0.00267,0,0.306,0.345,77.502,242334,2018-08-24
62,BTS,전하지 못한 진심 (feat. Steve Aoki),0.571,0.422,1,-7.561,0.0422,0.374,0,0.127,0.169,113.016,242293,2018-08-24
63,BTS,Trivia 轉 : Seesaw,0.707,0.791,5,-4.483,0.035,0.179,0,0.102,0.674,106.985,246334,2018-08-24
64,BTS,Tear,0.711,0.903,6,-2.723,0.246,0.327,0,0.0887,0.469,140.02,284981,2018-08-24
65,BTS,Epiphany,0.508,0.559,2,-6.366,0.0276,0.288,0,0.131,0.329,135.866,240362,2018-08-24
66,BTS,I'm Fine,0.511,0.84,11,-2.781,0.103,0.00852,0,0.346,0.303,87.605,240339,2018-08-24
67,BTS,IDOL,0.708,0.857,6,-3.394,0.0827,0.00219,0,0.103,0.449,126.051,260234,2018-08-24
68,BTS,Answer : Love Myself,0.568,0.793,1,-3.749,0.0406,0.189,0,0.111,0.45,108.051,251280,2018-08-24
69,BTS,Magic Shop,0.531,0.661,1,-5.836,0.0907,0.103,0,0.0779,0.278,149.934,275696,2018-08-24
70,BTS,Best Of Me,0.655,0.756,8,-4.388,0.07,0.0298,0,0.396,0.469,121.936,227191,2018-08-24
71,BTS,Airplane pt.2,0.77,0.817,0,-4.092,0.0339,0.0265,0.000103,0.084,0.866,139.979,218615,2018-08-24
72,BTS,고민보다 Go,0.856,0.617,10,-5.308,0.084,0.171,0,0.0857,0.759,136.081,235780,2018-08-24
73,BTS,Anpanman,0.813,0.876,1,-2.92,0.0922,0.024,0,0.287,0.757,98.989,232966,2018-08-24
74,BTS,MIC Drop,0.667,0.889,6,-4.851,0.0917,0.00912,0,0.0816,0.541,169.961,238193,2018-08-24
75,BTS,DNA - Pedal 2 LA Mix,0.487,0.956,1,-3.44,0.134,0.0352,0,0.301,0.482,129.966,247483,2018-08-24
76,BTS,FAKE LOVE - Rocking Vibe Mix,0.466,0.804,2,-4.009,0.0392,0.0573,0,0.432,0.352,154.901,238494,2018-08-24
77,BTS,MIC Drop (Steve Aoki Remix) - Full Length Edition,0.606,0.85,11,-3.952,0.183,0.0114,1.01e-06,0.206,0.542,170.01,307676,2018-08-24
78,BTS,Dimple,0.612,0.844,5,-4.694,0.0757,0.14,0,0.289,0.652,134.872,196776,2018-08-24
79,BTS,The Truth Untold,0.571,0.422,1,-7.561,0.0422,0.374,0,0.127,0.169,113.016,242293,2018-08-24
80,BTS,Go Go,0.856,0.617,10,-5.308,0.084,0.171,0,0.0857,0.759,136.081,235780,2018-08-24
81,MonstaX,One Day,0.703,0.533,10,-5.34,0.0303,0.143,0,0.095,0.195,107.964,146097,2021-12-10
82,MonstaX,You Problem,0.833,0.714,4,-4.951,0.0786,0.0148,0,0.195,0.782,109.997,199209,2021-12-10
83,MonstaX,Tied to Your Body,0.765,0.728,11,-5.148,0.0671,0.15,0,0.118,0.899,94.006,129145,2021-12-10
84,MonstaX,Whispers in the Dark,0.62,0.665,0,-6.112,0.0344,0.147,0.00712,0.123,0.195,142.996,220546,2021-12-10
85,MonstaX,Blame Me,0.591,0.81,11,-4.215,0.0397,0.0185,5.13e-06,0.349,0.216,164.962,188182,2021-12-10
86,MonstaX,Secrets,0.723,0.678,1,-3.69,0.0834,0.0938,0,0.3,0.604,100.192,201613,2021-06-01
87,MonstaX,About Last Night,0.752,0.722,9,-3.419,0.0375,0.0115,1.78e-05,0.104,0.728,117.978,153262,2021-12-10
88,ATEEZ,Better,0.662,0.859,9,-2.955,0.0587,0.00795,0,0.05,0.502,153.903,216307,2021-03-24
89,MonstaX,Blow Your Mind,0.757,0.683,10,-4.525,0.0546,0.0297,0,0.205,0.92,110.007,130395,2021-12-10
90,MonstaX,The Dreaming,0.44,0.333,4,-7.749,0.0332,0.826,0,0.108,0.119,99.303,237756,2021-12-10
91,MonstaX,Rush Hour,0.772,0.889,5,-2.496,0.222,0.0367,0,0.685,0.705,112.866,202840,2021-11-19
92,MonstaX,Autobahn,0.817,0.815,10,-5.352,0.106,0.00872,0,0.159,0.698,115.025,197960,2021-11-19
93,MonstaX,Ride with U,0.776,0.74,10,-4.013,0.0677,0.0433,0,0.221,0.81,106.97,204773,2021-11-19
94,MonstaX,Got me in chains,0.675,0.838,5,-2.073,0.0811,0.137,0,0.278,0.853,114.984,187693,2021-11-19
95,MonstaX,Just love,0.695,0.719,6,-4.998,0.0504,0.206,0,0.11,0.477,93.007,192213,2021-11-19
96,MonstaX,Mercy,0.66,0.708,1,-5.418,0.084,0.133,0,0.124,0.278,113.704,190587,2021-11-19
97,MonstaX,I got love,0.455,0.717,10,-4.068,0.342,0.207,0,0.0976,0.503,81.014,203293,2021-11-19
98,MonstaX,GAMBLER,0.752,0.861,11,-2.72,0.152,0.00458,5.84e-06,0.158,0.595,97.968,213027,2021-06-01
99,EXO,Heaven,0.696,0.844,5,-4.212,0.181,0.0348,0,0.0882,0.761,91.982,225823,2016-08-18
100,MonstaX,Addicted,0.445,0.836,10,-2.232,0.132,0.156,0,0.178,0.7,127.928,186480,2021-06-01
101,MonstaX,BEBE,0.605,0.531,6,-3.941,0.0714,0.548,0,0.135,0.735,172.002,225573,2021-06-01
102,MonstaX,Rotate,0.764,0.638,3,-4.086,0.0384,0.0543,0,0.0911,0.493,102.996,203573,2021-06-01
103,MonstaX,Livin' It Up - Korean Version,0.678,0.877,9,-2.762,0.115,0.214,0,0.108,0.732,97.448,224347,2021-06-01
104,MonstaX,WANTED,0.66,0.908,9,-3.09,0.0634,0.104,0,0.309,0.583,104.979,212907,2021-05-05
105,MonstaX,Follow - Japanese ver.,0.654,0.921,8,-2.638,0.064,0.0208,5.19e-06,0.174,0.698,109.986,214680,2021-05-05
106,MonstaX,FANTASIA - Japanese ver.,0.718,0.911,9,-2.61,0.129,0.019,0,0.249,0.524,126.027,186680,2021-05-05
107,MonstaX,RE:VERSEDAY,0.575,0.916,5,-2.377,0.133,0.0305,0,0.366,0.633,84.983,209920,2021-05-05
108,MonstaX,Diamond heart,0.628,0.815,1,-3.409,0.104,0.0802,0,0.37,0.565,125.059,229373,2021-05-05
109,MonstaX,Secret,0.681,0.838,5,-3.918,0.0557,0.0979,0,0.189,0.326,99.992,188800,2021-05-05
110,MonstaX,Love Killa - Japanese ver.,0.597,0.829,4,-4.399,0.386,0.0488,0,0.328,0.629,89.945,184253,2021-05-05
111,MonstaX,Detox,0.743,0.754,1,-4.336,0.156,0.279,0,0.107,0.849,90.042,221267,2021-05-05
112,MonstaX,Wish on the same sky,0.532,0.839,3,-4.4,0.0464,0.0528,0,0.0687,0.561,160.005,225973,2021-05-05
113,MonstaX,NEO UNIVERSE,0.662,0.884,4,-3.58,0.0672,0.19,0,0.404,0.829,114.964,241280,2021-05-05
114,MonstaX,Flavors of love,0.719,0.657,2,-6.16,0.0715,0.0834,0,0.0525,0.813,149.982,197693,2021-05-05
