date,listeners,rank
2018-11-01,118324,73
2018-11-02,118324,73
2018-11-04,131063,73
2018-11-07,131063,73
2018-11-08,131063,73
2018-11-09,140072,73
2018-11-10,140072,73
2018-11-11,140072,73
2018-11-12,140072,73
2018-11-13,148344,73
2018-11-14,150118,73
2018-11-15,152288,73
2018-11-16,154458,73
2018-11-17,155577,73
2018-11-18,154434,73
2018-11-19,154812,73
2018-11-20,155299,73
2018-11-21,155049,73
2018-11-22,154646,73
2018-11-23,154245,73
2018-11-24,153613,73
2018-11-25,152551,73
2018-11-26,151448,73
2018-11-27,150388,73
2018-11-28,149788,73
2018-11-29,148863,73
2018-11-30,148276,73
2018-12-01,147442,73
2018-12-02,147072,73
2018-12-03,146766,73
2018-12-04,146398,73
2018-12-05,146271,73
2018-12-06,146012,73
2018-12-07,145776,73
2018-12-08,145709,73
2018-12-09,145968,73
2018-12-10,146015,73
2018-12-11,145791,73
2018-12-12,145767,73
2018-12-13,145111,73
2018-12-14,144053,73
2018-12-15,143562,73
2018-12-16,143075,73
2018-12-17,142834,73
2018-12-18,142290,73
2018-12-19,142151,73
2018-12-20,142009,73
2018-12-21,141767,73
2018-12-22,141743,73
2018-12-23,141364,73
2018-12-24,140930,73
2018-12-25,140400,73
2018-12-26,140064,73
2018-12-27,139753,73
2018-12-28,139607,73
2018-12-29,139440,73
2018-12-30,139666,73
2018-12-31,139979,73
2019-01-01,140292,73
2019-01-02,140429,73
2019-01-03,140173,73
2019-01-04,140122,73
2019-01-05,139688,73
2019-01-06,139102,73
2019-01-07,138631,73
2019-01-08,138339,73
2019-01-09,137632,73
2019-01-10,137326,73
2019-01-11,137060,73
2019-01-12,136651,73
2019-01-13,136781,73
2019-01-14,137436,73
2019-01-15,138347,73
2019-01-16,138296,73
2019-01-17,138179,73
2019-01-18,138027,73
2019-01-19,137608,73
2019-01-20,137257,73
2019-01-21,136892,73
2019-01-22,136565,73
2019-01-23,136253,73
2019-01-24,136109,73
2019-01-25,135644,73
2019-01-26,134866,73
2019-01-27,134021,73
2019-01-28,133021,73
2019-01-29,131958,73
2019-01-30,130777,73
2019-01-31,129885,73
2019-02-01,129054,73
2019-02-02,128565,73
2019-02-03,128039,73
2019-02-04,127617,73
2019-02-05,126950,73
2019-02-06,126444,73
2019-02-07,126151,73
2019-02-08,125600,73
2019-02-09,125128,73
2019-02-10,124311,73
2019-02-11,122977,73
2019-02-12,121339,73
2019-02-13,120264,73
2019-02-14,119780,73
2019-02-15,118819,73
2019-02-16,117893,73
2019-02-17,117313,73
2019-02-18,117041,73
2019-02-19,116736,73
2019-02-20,116628,73
2019-02-21,116547,73
2019-02-22,116291,73
2019-02-24,115656,73
2019-02-25,115327,73
2019-02-26,115193,73
2019-02-27,115129,73
2019-03-02,113792,73
2019-03-03,113370,73
2019-03-04,112955,73
2019-03-05,112408,73
2019-03-06,112009,73
2019-03-07,111656,73
2019-03-08,111206,73
2019-03-09,110694,73
2019-03-10,110468,73
2019-03-11,110024,73
2019-03-12,109517,73
2019-03-13,109219,73
2019-03-14,108678,73
2019-03-15,108207,73
2019-03-16,107855,73
2019-03-17,107463,73
2019-03-18,106806,73
2019-03-19,106358,73
2019-03-20,105863,73
2019-03-21,105264,73
2019-03-22,105178,73
2019-03-23,104901,73
2019-03-24,105000,73
2019-03-25,104928,73
2019-03-26,104462,73
2019-03-27,104187,73
2019-03-28,103940,73
2019-03-29,103997,73
2019-03-30,104076,73
2019-03-31,104272,73
2019-04-01,104428,73
2019-04-02,104476,73
2019-04-03,104596,73
2019-04-04,104634,73
2019-04-05,104965,73
2019-04-06,110324,73
2019-04-07,126237,73
2019-04-08,135538,73
2019-04-09,142484,73
2019-04-10,149620,73
2019-04-11,156278,73
2019-04-13,170394,73
2019-04-15,183742,73
2019-04-17,193170,73
2019-04-19,201395,73
2019-04-23,216517,73
2019-04-26,226045,73
2019-04-27,228736,73
2019-04-28,231401,73
2019-04-29,234342,73
2019-04-30,236985,73
2019-05-01,239487,73
2019-05-02,242017,73
2019-05-03,244780,73
2019-05-04,245953,73
2019-05-05,243366,73
2019-05-06,242327,73
2019-05-07,242327,73
2019-05-09,238898,73
2019-05-10,238898,73
2019-05-11,236994,73
2019-05-12,235061,73
2019-05-13,234560,73
2019-05-15,232860,73
2019-05-19,230336,73
2019-05-20,229524,73
2019-05-23,228896,73
2019-05-26,228236,73
2019-05-29,227713,73
2019-06-01,227046,73
2019-06-04,224523,73
2019-06-10,219530,73
2019-06-18,210615,73
2019-06-20,208040,73
2019-06-21,207209,73
2019-06-22,206210,73
2019-06-23,205242,73
2019-06-24,204661,73
2019-06-25,203706,73
2019-06-26,202958,73
2019-06-27,202005,73
2019-06-28,201392,73
2019-06-29,200684,73
2019-06-30,200657,73
2019-07-01,200884,73
2019-07-02,201086,73
2019-07-03,200881,73
2019-07-04,201250,73
2019-07-05,201758,73
2019-07-06,202063,73
2019-07-07,202302,73
2019-07-08,202998,73
2019-07-09,204084,73
2019-07-10,205538,73
2019-07-11,206399,73
2019-07-12,207069,73
2019-07-13,208085,73
2019-07-14,209171,73
2019-07-15,211076,73
2019-07-16,212667,73
2019-07-17,214149,73
2019-07-18,215573,73
2019-07-19,216863,73
2019-07-22,218172,73
2019-07-23,218865,73
2019-07-24,219655,73
2019-07-25,219874,73
2019-07-26,220093,73
2019-07-27,220211,73
2019-07-28,219945,73
2019-07-29,219653,73
2019-07-30,219199,73
2019-07-31,219359,73
2019-08-01,218841,73
2019-08-02,218372,73
2019-08-03,217875,73
2019-08-04,217435,73
2019-08-05,216968,73
2019-08-06,215944,73
2019-08-07,215085,73
2019-08-08,214228,73
2019-08-09,213564,73
2019-08-10,212851,73
2019-08-11,212034,73
2019-08-13,208588,73
2019-08-14,207168,73
2019-08-15,205030,73
2019-08-16,203205,73
2019-08-17,202091,73
2019-08-18,200753,73
2019-08-19,198942,73
2019-08-20,196855,73
2019-08-21,195059,73
2019-08-22,193642,73
2019-08-23,191960,73
2019-08-24,190356,73
2019-08-25,188841,73
2019-08-26,187187,73
2019-08-27,185696,73
2019-08-28,183820,73
2019-08-29,182583,73
2019-08-30,181445,73
2019-08-31,180402,73
2019-09-01,179641,73
2019-09-02,178390,73
2019-09-03,177181,73
2019-09-04,175946,73
2019-09-05,174732,73
2019-09-06,173441,73
2019-09-07,172271,73
2019-09-08,170970,73
2019-09-09,169371,73
2019-09-10,168228,73
2019-09-11,165865,73
2019-09-12,164887,73
2019-09-13,163732,73
2019-09-14,162463,73
2019-09-15,161754,73
2019-09-16,161419,73
2019-09-17,161101,73
2019-09-18,160724,73
2019-09-19,160158,73
2019-09-21,159668,73
2019-09-22,159643,73
2019-09-23,159544,73
2019-09-25,159056,73
2019-09-26,159195,73
2019-09-27,159296,73
2019-09-29,158989,73
2019-10-01,158273,73
2019-10-02,158218,73
2019-10-03,158124,73
2019-10-04,158016,73
2019-10-05,157801,73
2019-10-06,157537,73
2019-10-07,157421,73
2019-10-08,156954,73
2019-10-09,156967,73
2019-10-10,156808,73
2019-10-11,156677,73
2019-10-14,156536,73
2019-10-15,156159,73
2019-10-16,156322,73
2019-10-17,156367,73
2019-10-19,156972,73
2019-10-20,157586,73
2019-10-21,157906,73
2019-10-22,158017,73
2019-10-23,158375,73
2019-10-24,158530,73
2019-10-25,158581,73
2019-10-26,158913,73
2019-10-27,159315,73
2019-10-28,159667,73
2019-10-29,160028,73
2019-10-30,160695,73
2019-10-31,161045,73
2019-11-01,158261,73
2019-11-02,158261,73
2019-11-03,159222,73
2019-11-04,159337,73
2019-11-05,159427,73
2019-11-06,159513,73
2019-11-07,159538,73
2019-11-08,159552,73
2019-11-09,159484,73
2019-11-10,159365,73
2019-11-11,159366,73
2019-11-12,159447,73
2019-11-13,158966,73
2019-11-14,158825,73
2019-11-15,158641,73
2019-11-17,157402,73
2019-11-18,156877,73
2019-11-19,156461,73
2019-11-20,155861,73
2019-11-21,155355,73
2019-11-22,154800,73
2019-11-23,154502,73
2019-11-24,153850,73
2019-11-25,153366,73
2019-11-26,152581,73
2019-11-27,151741,73
2019-11-28,150894,73
2019-11-29,153486,73
2019-11-30,152920,73
2019-12-01,152255,73
2019-12-03,151307,73
2019-12-04,150715,73
2019-12-07,151386,73
2019-12-08,153235,73
2019-12-09,154830,73
2019-12-10,156238,73
2019-12-12,158470,73
2019-12-13,159354,73
2019-12-15,161245,73
2019-12-16,162350,73
2019-12-17,163271,73
2019-12-18,164385,73
2019-12-19,165411,73
2019-12-20,166490,73
2019-12-21,167492,73
2019-12-22,168278,73
2019-12-27,172916,73
2019-12-28,172916,73
2019-12-29,174029,73
2019-12-30,175160,73
2019-12-31,176071,73
2020-01-01,177216,73
2020-01-02,178299,73
2020-01-03,179065,73
2020-01-04,178613,73
2020-01-05,177734,73
2020-01-06,177022,73
2020-01-07,176362,73
2020-01-08,175687,73
2020-01-09,175003,73
2020-01-10,174678,73
2020-01-11,174228,73
2020-01-12,173839,73
2020-01-13,173359,73
2020-01-14,172615,73
2020-01-15,172139,73
2020-01-16,171623,73
2020-01-17,170953,73
2020-01-19,169919,73
2020-01-20,169274,73
2020-01-21,168560,73
2020-01-22,168112,73
2020-01-23,167693,73
2020-01-24,167045,73
2020-01-25,166296,73
2020-01-26,165283,73
2020-01-27,163842,73
2020-01-28,162827,73
2020-01-30,160030,73
2020-01-31,158807,73
2020-02-01,157913,73
2020-02-03,156423,73
2020-02-04,155774,73
2020-02-05,155343,73
2020-02-06,154825,73
2020-02-07,154521,73
2020-02-08,154180,73
2020-02-09,153779,73
2020-02-10,153433,73
2020-02-12,152624,73
2020-02-13,151976,73
2020-02-14,151409,73
2020-02-15,150756,73
2020-02-16,150019,73
2020-02-17,149431,73
2020-02-18,148830,73
2020-02-19,148343,73
2020-02-20,147755,73
2020-02-21,147473,73
2020-02-22,147259,73
2020-02-23,146786,73
2020-02-24,146459,73
2020-02-25,145905,73
2020-02-26,145638,73
2020-02-27,145346,73
2020-02-28,144941,73
2020-02-29,144642,73
2020-03-01,144271,73
2020-03-02,143897,73
2020-03-03,143380,73
2020-03-04,143250,73
2020-03-05,142874,73
2020-03-06,142492,73
2020-03-08,142100,73
2020-03-09,141985,73
2020-03-10,142196,73
2020-03-11,141722,73
2020-03-13,141504,73
2020-03-14,141309,73
2020-03-15,141172,73
2020-03-16,140908,73
2020-03-17,140483,73
2020-03-18,140083,73
2020-03-19,139869,73
2020-03-20,139529,73
2020-03-21,139118,73
2020-03-22,138721,73
2020-03-23,138340,73
2020-03-24,137894,73
2020-03-25,137526,73
2020-03-26,137085,73
2020-03-27,136695,73
2020-03-28,136187,73
2020-03-29,135593,73
2020-03-30,134802,73
2020-03-31,133829,73
2020-04-01,133159,73
