date,listeners,rank
2018-11-01,76247,400
2018-11-02,76247,400
2018-11-04,99018,400
2018-11-07,99018,400
2018-11-08,99018,400
2018-11-09,117076,400
2018-11-10,117076,400
2018-11-11,117076,400
2018-11-12,117076,400
2018-11-13,132984,400
2018-11-14,136123,400
2018-11-15,139249,400
2018-11-16,142446,400
2018-11-17,145424,400
2018-11-18,145059,400
2018-11-19,146487,400
2018-11-20,146192,400
2018-11-21,145220,400
2018-11-22,145223,400
2018-11-23,144974,400
2018-11-24,144407,400
2018-11-25,143399,400
2018-11-26,142389,400
2018-11-27,141816,400
2018-11-28,141141,400
2018-11-29,141320,400
2018-11-30,141509,400
2018-12-01,141548,400
2018-12-02,141441,400
2018-12-03,141571,400
2018-12-04,141533,400
2018-12-05,141957,400
2018-12-06,142176,400
2018-12-07,142543,400
2018-12-08,142647,400
2018-12-09,142705,400
2018-12-10,142952,400
2018-12-11,142748,400
2018-12-12,142657,400
2018-12-13,142385,400
2018-12-14,142397,400
2018-12-15,142211,400
2018-12-16,142128,400
2018-12-17,142307,400
2018-12-18,142191,400
2018-12-19,142273,400
2018-12-20,142079,400
2018-12-21,141795,400
2018-12-22,141946,400
2018-12-23,142200,400
2018-12-24,142514,400
2018-12-25,142670,400
2018-12-26,143581,400
2018-12-27,143837,400
2018-12-28,144470,400
2018-12-29,144816,400
2018-12-30,145221,400
2018-12-31,145809,400
2019-01-01,146153,400
2019-01-02,147473,400
2019-01-03,147558,400
2019-01-04,147853,400
2019-01-05,148261,400
2019-01-06,148811,400
2019-01-07,149562,400
2019-01-08,150224,400
2019-01-09,150688,400
2019-01-10,151149,400
2019-01-11,151563,400
2019-01-12,152050,400
2019-01-13,152639,400
2019-01-14,153188,400
2019-01-15,153718,400
2019-01-16,154368,400
2019-01-17,154923,400
2019-01-18,156005,400
2019-01-19,156772,400
2019-01-20,157166,400
2019-01-21,158052,400
2019-01-22,158573,400
2019-01-23,158904,400
2019-01-24,159396,400
2019-01-25,160189,400
2019-01-26,160713,400
2019-01-27,161291,400
2019-01-28,161718,400
2019-01-29,162007,400
2019-01-30,161857,400
2019-01-31,163216,400
2019-02-01,165143,400
2019-02-02,167149,400
2019-02-03,169008,400
2019-02-04,171671,400
2019-02-05,173964,400
2019-02-06,176672,400
2019-02-07,178523,400
2019-02-08,180132,400
2019-02-09,181480,400
2019-02-10,182361,400
2019-02-11,183856,400
2019-02-12,185417,400
2019-02-13,186807,400
2019-02-14,188075,400
2019-02-15,188784,400
2019-02-16,189500,400
2019-02-17,190294,400
2019-02-18,191525,400
2019-02-19,192872,400
2019-02-20,194099,400
2019-02-21,195620,400
2019-02-22,196763,400
2019-02-24,199230,400
2019-02-25,200521,400
2019-02-26,201396,400
2019-02-27,201902,400
2019-03-02,200912,400
2019-03-03,200228,400
2019-03-04,199638,400
2019-03-05,199005,400
2019-03-06,198319,400
2019-03-07,198182,400
2019-03-08,197832,400
2019-03-09,197661,400
2019-03-10,197841,400
2019-03-11,198071,400
2019-03-12,198080,400
2019-03-13,198202,400
2019-03-14,197708,400
2019-03-15,197448,400
2019-03-16,197286,400
2019-03-17,197005,400
2019-03-18,196530,400
2019-03-19,196245,400
2019-03-20,195943,400
2019-03-21,195279,400
2019-03-22,194625,400
2019-03-23,193467,400
2019-03-24,192557,400
2019-03-25,192055,400
2019-03-26,191927,400
2019-03-27,191304,400
2019-03-28,190891,400
2019-03-29,190452,400
2019-03-30,190027,400
2019-03-31,190109,400
2019-04-01,189293,400
2019-04-02,188031,400
2019-04-03,187228,400
2019-04-04,186609,400
2019-04-05,186098,400
2019-04-06,185902,400
2019-04-07,186958,400
2019-04-08,187724,400
2019-04-09,189008,400
2019-04-10,190004,400
2019-04-11,191850,400
2019-04-13,195391,400
2019-04-15,198095,400
2019-04-17,198710,400
2019-04-19,200385,400
2019-04-23,202156,400
