date,listeners,rank
2018-11-01,494757,132
2018-11-02,494757,132
2018-11-04,530238,132
2018-11-07,530238,132
2018-11-08,530238,132
2018-11-09,562959,132
2018-11-10,562959,132
2018-11-11,562959,132
2018-11-12,562959,132
2018-11-13,592612,132
2018-11-14,598260,132
2018-11-15,605082,132
2018-11-16,610393,132
2018-11-17,615323,132
2018-11-18,613126,132
2018-11-19,612604,132
2018-11-20,614156,132
2018-11-21,616231,132
2018-11-22,620968,132
2018-11-23,623388,132
2018-11-24,625862,132
2018-11-25,626002,132
2018-11-26,627765,132
2018-11-27,627631,132
2018-11-28,629835,132
2018-11-29,630229,132
2018-11-30,633360,132
2018-12-01,634884,132
2018-12-02,635359,132
2018-12-03,636865,132
2018-12-04,637470,132
2018-12-05,639653,132
2018-12-06,641492,132
2018-12-07,643321,132
2018-12-08,644290,132
2018-12-09,647398,132
2018-12-10,650589,132
2018-12-11,651606,132
2018-12-12,653483,132
2018-12-13,653303,132
2018-12-14,653690,132
2018-12-15,655752,132
2018-12-16,657561,132
2018-12-17,658585,132
2018-12-18,659279,132
2018-12-19,659379,132
2018-12-20,657610,132
2018-12-21,657141,132
2018-12-22,656206,132
2018-12-23,657388,132
2018-12-24,655598,132
2018-12-25,652988,132
2018-12-26,650728,132
2018-12-27,649169,132
2018-12-28,647968,132
2018-12-29,646736,132
2018-12-30,645091,132
2018-12-31,641897,132
2019-01-01,640381,132
2019-01-02,640391,132
2019-01-03,637523,132
2019-01-04,635487,132
2019-01-05,633391,132
2019-01-06,630952,132
2019-01-07,627496,132
2019-01-08,625298,132
2019-01-09,622499,132
2019-01-10,620580,132
2019-01-11,617686,132
2019-01-12,613649,132
2019-01-13,611041,132
2019-01-14,609930,132
2019-01-15,607477,132
2019-01-16,604072,132
2019-01-17,599966,132
2019-01-18,597476,132
2019-01-19,595752,132
2019-01-20,591820,132
2019-01-21,591406,132
2019-01-22,593407,132
2019-01-23,593557,132
2019-01-24,593158,132
2019-01-25,591721,132
2019-01-26,590114,132
2019-01-27,589339,132
2019-01-28,589705,132
2019-01-29,588022,132
2019-01-30,583963,132
2019-01-31,583393,132
2019-02-01,582380,132
2019-02-02,580626,132
2019-02-03,579014,132
2019-02-04,577786,132
2019-02-05,575175,132
2019-02-06,573777,132
2019-02-07,572357,132
2019-02-08,570305,132
2019-02-09,568622,132
2019-02-10,567256,132
2019-02-11,565836,132
2019-02-12,565000,132
2019-02-13,563938,132
2019-02-14,562596,132
2019-02-15,561327,132
2019-02-16,558666,132
2019-02-17,555886,132
2019-02-18,552447,132
2019-02-19,548086,132
2019-02-20,543980,132
2019-02-21,540983,132
2019-02-22,540283,132
2019-02-24,538186,132
2019-02-25,536819,132
2019-02-26,535458,132
2019-02-27,534378,132
2019-03-02,528453,132
2019-03-03,526519,132
2019-03-04,524138,132
2019-03-05,521883,132
2019-03-06,520306,132
