date,listeners,rank
2018-11-01,160933,41
2018-11-02,160933,41
2018-11-04,173791,41
2018-11-07,173791,41
2018-11-08,173791,41
2018-11-09,187119,41
2018-11-10,187119,41
2018-11-11,187119,41
2018-11-12,187119,41
2018-11-13,196981,41
2018-11-14,198940,41
2018-11-15,201233,41
2018-11-16,203367,41
2018-11-17,204982,41
2018-11-18,204637,41
2018-11-19,204694,41
2018-11-20,205104,41
2018-11-21,204986,41
2018-11-22,204493,41
2018-11-23,203988,41
2018-11-24,203460,41
2018-11-25,202415,41
2018-11-26,201314,41
2018-11-27,200407,41
2018-11-28,199940,41
2018-11-29,199246,41
2018-11-30,199549,41
2018-12-01,199345,41
2018-12-02,199022,41
2018-12-03,198544,41
2018-12-04,198467,41
2018-12-05,198106,41
2018-12-06,197887,41
2018-12-07,197632,41
2018-12-08,198053,41
2018-12-09,198466,41
2018-12-10,198713,41
2018-12-11,198924,41
2018-12-12,199301,41
2018-12-13,199041,41
2018-12-14,199036,41
2018-12-15,198975,41
2018-12-16,198644,41
2018-12-17,198343,41
2018-12-18,197788,41
2018-12-19,197855,41
2018-12-20,197535,41
2018-12-21,196825,41
2018-12-22,196742,41
2018-12-23,196419,41
2018-12-24,196223,41
2018-12-25,195776,41
2018-12-26,195677,41
2018-12-27,194989,41
2018-12-28,194623,41
2018-12-29,194456,41
2018-12-30,194116,41
2018-12-31,194064,41
2019-01-01,193532,41
2019-01-02,193858,41
2019-01-03,193491,41
2019-01-04,193193,41
2019-01-05,192431,41
2019-01-06,191489,41
2019-01-07,190662,41
2019-01-08,189509,41
2019-01-09,188453,41
2019-01-10,187261,41
2019-01-11,186075,41
2019-01-12,185333,41
2019-01-13,185244,41
2019-01-14,185734,41
2019-01-15,185829,41
2019-01-16,185880,41
2019-01-17,185773,41
2019-01-18,185770,41
2019-01-19,185118,41
2019-01-20,184374,41
2019-01-21,183660,41
2019-01-22,182713,41
2019-01-23,181396,41
2019-01-24,180420,41
2019-01-25,179319,41
2019-01-26,178119,41
2019-01-27,177331,41
2019-01-28,176277,41
2019-01-29,175375,41
2019-01-30,173694,41
2019-01-31,172787,41
2019-02-01,171991,41
2019-02-02,171530,41
2019-02-03,171498,41
2019-02-04,171763,41
2019-02-05,171961,41
2019-02-06,172195,41
2019-02-07,172363,41
2019-02-08,172592,41
2019-02-09,172555,41
2019-02-10,172098,41
2019-02-11,171256,41
2019-02-12,170331,41
2019-02-13,169345,41
2019-02-14,168512,41
2019-02-15,167478,41
2019-02-16,166482,41
2019-02-17,165617,41
2019-02-18,165311,41
2019-02-19,165073,41
2019-02-20,164824,41
2019-02-21,164847,41
2019-02-22,164891,41
2019-02-24,165277,41
2019-02-25,167349,41
2019-02-26,169297,41
2019-02-27,170474,41
2019-03-02,171853,41
2019-03-03,172167,41
2019-03-04,172549,41
2019-03-05,172717,41
2019-03-06,172508,41
2019-03-07,172256,41
2019-03-08,171484,41
2019-03-09,170836,41
2019-03-10,170465,41
2019-03-11,170005,41
2019-03-12,169969,41
2019-03-13,169952,41
2019-03-14,169786,41
2019-03-15,170030,41
2019-03-16,170255,41
2019-03-17,170378,41
2019-03-18,170438,41
2019-03-19,170275,41
2019-03-20,170099,41
2019-03-21,169689,41
2019-03-22,169498,41
2019-03-23,169385,41
2019-03-24,169222,41
2019-03-25,167686,41
2019-03-26,165723,41
2019-03-27,164841,41
2019-03-28,163866,41
2019-03-29,162838,41
2019-03-30,161934,41
2019-03-31,160876,41
2019-04-01,159486,41
2019-04-02,158128,41
2019-04-03,157046,41
2019-04-04,155888,41
2019-04-05,155568,41
2019-04-06,158834,41
2019-04-07,170819,41
2019-04-08,179410,41
2019-04-09,186044,41
2019-04-10,192379,41
2019-04-11,198244,41
2019-04-13,209608,41
2019-04-15,223638,41
2019-04-17,234737,41
2019-04-19,243985,41
2019-04-23,263196,41
2019-04-26,273749,41
2019-04-27,277237,41
2019-04-28,281526,41
2019-04-29,286154,41
2019-04-30,290404,41
2019-05-01,293936,41
2019-05-02,297587,41
2019-05-03,301369,41
2019-05-04,303397,41
2019-05-05,302369,41
2019-05-06,302020,41
2019-05-07,302020,41
2019-05-08,301509,41
2019-05-09,300288,41
2019-05-10,300288,41
2019-05-11,299482,41
2019-05-12,298071,41
2019-05-13,296828,41
2019-05-15,293812,41
2019-05-19,286715,41
2019-05-20,282421,41
