date,listeners,rank
2018-11-01,126691,732
2018-11-02,126691,732
2018-11-04,164575,732
2018-11-07,164575,732
2018-11-08,164575,732
2018-11-09,193052,732
2018-11-10,193052,732
2018-11-11,193052,732
2018-11-12,193052,732
2018-11-13,221073,732
2018-11-14,226006,732
2018-11-15,231072,732
2018-11-16,235855,732
2018-11-17,240849,732
2018-11-18,238596,732
2018-11-19,239901,732
2018-11-20,241541,732
2018-11-21,242530,732
2018-11-22,243441,732
2018-11-23,242988,732
2018-11-24,240180,732
2018-11-25,238002,732
2018-11-26,236752,732
2018-11-27,236044,732
2018-11-28,235264,732
2018-11-29,232991,732
2018-11-30,229696,732
2018-12-01,227234,732
2018-12-02,225231,732
2018-12-03,223420,732
2018-12-04,221751,732
2018-12-05,219029,732
2018-12-06,216604,732
2018-12-07,213756,732
2018-12-08,210800,732
2018-12-09,207110,732
2018-12-10,203968,732
2018-12-11,201481,732
2018-12-12,198586,732
2018-12-13,195401,732
2018-12-14,192343,732
2018-12-15,189324,732
2018-12-16,185830,732
2018-12-17,182399,732
2018-12-18,179670,732
2018-12-19,176611,732
2018-12-20,172236,732
2018-12-21,169157,732
2018-12-22,165513,732
2018-12-23,161582,732
2018-12-24,157788,732
2018-12-25,154767,732
2018-12-26,150924,732
2018-12-27,147585,732
2018-12-28,145232,732
2018-12-29,142880,732
2018-12-30,141453,732
2018-12-31,140412,732
2019-01-01,139425,732
2019-01-02,138357,732
2019-01-03,136760,732
2019-01-04,135871,732
2019-01-05,135889,732
2019-01-06,136250,732
2019-01-07,136486,732
2019-01-08,136663,732
2019-01-09,137391,732
2019-01-10,137956,732
2019-01-11,138680,732
2019-01-12,139059,732
2019-01-13,138968,732
2019-01-14,138874,732
2019-01-15,138869,732
2019-01-16,139274,732
2019-01-17,139336,732
2019-01-18,139621,732
2019-01-19,141011,732
2019-01-20,142221,732
2019-01-21,142949,732
2019-01-22,143439,732
2019-01-23,144765,732
2019-01-24,146612,732
2019-01-25,147910,732
2019-01-26,149290,732
2019-01-27,150819,732
2019-01-28,151864,732
2019-01-29,152492,732
2019-01-30,153834,732
2019-01-31,155422,732
2019-02-01,156387,732
2019-02-02,156713,732
2019-02-03,157013,732
2019-02-04,157365,732
2019-02-05,157546,732
2019-02-06,157371,732
2019-02-07,157445,732
2019-02-08,157563,732
2019-02-09,157726,732
2019-02-10,158326,732
2019-02-11,158868,732
2019-02-12,159305,732
2019-02-13,160098,732
2019-02-14,160943,732
2019-02-15,161164,732
2019-02-16,160804,732
2019-02-17,160875,732
2019-02-18,161217,732
2019-02-19,161318,732
2019-02-20,161183,732
2019-02-21,161215,732
2019-02-22,162200,732
2019-02-24,162374,732
2019-02-25,162694,732
2019-02-26,163058,732
