date,listeners,rank
2018-11-01,308591,88
2018-11-02,308591,88
2018-11-04,380156,88
2018-11-07,380156,88
2018-11-08,380156,88
2018-11-09,431026,88
2018-11-10,431026,88
2018-11-11,431026,88
2018-11-12,431026,88
2018-11-13,472914,88
2018-11-14,480549,88
2018-11-15,488206,88
2018-11-16,496086,88
2018-11-17,502300,88
2018-11-18,503073,88
2018-11-19,506269,88
2018-11-20,508820,88
2018-11-21,509464,88
2018-11-22,509310,88
2018-11-23,507224,88
2018-11-24,504647,88
2018-11-25,500853,88
2018-11-26,496176,88
2018-11-27,491802,88
2018-11-28,487090,88
2018-11-29,482678,88
2018-11-30,481221,88
2018-12-01,479711,88
2018-12-02,478613,88
2018-12-03,476667,88
2018-12-04,475074,88
2018-12-05,472697,88
2018-12-06,469585,88
2018-12-07,467026,88
2018-12-08,466697,88
2018-12-09,466439,88
2018-12-10,466402,88
2018-12-11,465846,88
2018-12-12,464586,88
2018-12-13,463092,88
2018-12-14,462057,88
2018-12-15,461243,88
2018-12-16,459782,88
2018-12-17,457753,88
2018-12-18,455428,88
2018-12-19,453006,88
2018-12-20,450813,88
2018-12-21,450970,88
2018-12-22,452861,88
2018-12-23,453906,88
2018-12-24,454961,88
2018-12-25,454994,88
2018-12-26,457442,88
2018-12-27,457496,88
2018-12-28,457480,88
2018-12-29,457356,88
2018-12-30,456417,88
2018-12-31,455962,88
2019-01-01,454868,88
2019-01-02,459231,88
2019-01-03,457792,88
2019-01-04,457948,88
2019-01-05,457389,88
2019-01-06,456264,88
2019-01-07,454854,88
2019-01-08,453432,88
2019-01-09,452684,88
2019-01-10,450782,88
2019-01-11,448531,88
2019-01-12,446898,88
2019-01-13,445314,88
2019-01-14,443316,88
2019-01-15,441559,88
2019-01-16,441018,88
2019-01-17,439236,88
2019-01-18,436925,88
2019-01-19,434354,88
2019-01-20,430837,88
2019-01-21,426337,88
2019-01-22,422319,88
2019-01-23,416633,88
2019-01-24,412454,88
2019-01-25,408103,88
2019-01-26,403502,88
2019-01-27,400715,88
2019-01-28,397478,88
2019-01-29,394375,88
