date,listeners,rank
2018-11-01,129023,509
2018-11-02,129023,509
2018-11-04,152501,509
2018-11-07,152501,509
2018-11-08,152501,509
2018-11-09,170736,509
2018-11-10,170736,509
2018-11-11,170736,509
2018-11-12,170736,509
2018-11-13,188352,509
2018-11-14,191835,509
2018-11-15,195540,509
2018-11-16,199311,509
2018-11-17,203231,509
2018-11-18,203082,509
2018-11-19,203123,509
2018-11-20,203474,509
2018-11-21,202342,509
2018-11-22,201823,509
2018-11-23,200869,509
2018-11-24,199729,509
2018-11-25,198718,509
2018-11-26,198168,509
2018-11-27,197735,509
2018-11-28,197089,509
2018-11-29,196620,509
2018-11-30,195916,509
2018-12-01,195859,509
2018-12-02,195715,509
2018-12-03,195167,509
2018-12-04,194619,509
2018-12-05,194103,509
2018-12-06,193617,509
2018-12-07,192843,509
2018-12-08,192355,509
2018-12-09,191454,509
2018-12-10,190760,509
2018-12-11,190081,509
2018-12-12,189089,509
2018-12-13,187693,509
2018-12-14,186233,509
2018-12-15,184528,509
2018-12-16,182928,509
2018-12-17,181857,509
2018-12-18,180632,509
2018-12-19,179276,509
2018-12-20,177749,509
2018-12-21,176421,509
2018-12-22,175281,509
2018-12-23,174341,509
2018-12-24,173630,509
2018-12-25,173095,509
2018-12-26,172506,509
2018-12-27,171682,509
2018-12-28,171172,509
2018-12-29,170798,509
2018-12-30,170472,509
2018-12-31,170573,509
2019-01-01,170500,509
2019-01-02,170690,509
2019-01-03,170124,509
2019-01-04,170121,509
2019-01-05,170168,509
2019-01-06,170435,509
2019-01-07,171254,509
2019-01-08,171663,509
2019-01-09,172243,509
2019-01-10,172820,509
2019-01-11,173225,509
2019-01-12,173810,509
2019-01-13,174192,509
2019-01-14,174879,509
2019-01-15,175481,509
2019-01-16,176148,509
2019-01-17,176755,509
2019-01-18,177722,509
2019-01-19,178480,509
2019-01-20,178717,509
2019-01-21,179239,509
2019-01-22,179032,509
2019-01-23,179283,509
2019-01-24,180000,509
2019-01-25,179825,509
2019-01-26,179812,509
2019-01-27,179721,509
2019-01-28,179711,509
2019-01-29,179322,509
2019-01-30,178689,509
2019-01-31,178972,509
2019-02-01,178567,509
2019-02-02,178181,509
2019-02-03,177538,509
2019-02-04,176816,509
2019-02-05,176374,509
2019-02-06,175824,509
2019-02-07,175329,509
2019-02-08,174853,509
2019-02-09,174265,509
2019-02-10,173988,509
2019-02-11,173861,509
2019-02-12,173639,509
2019-02-13,173843,509
2019-02-14,173829,509
2019-02-15,173262,509
2019-02-16,172139,509
2019-02-17,171166,509
2019-02-18,169836,509
2019-02-19,168698,509
2019-02-20,167269,509
2019-02-21,165925,509
2019-02-22,165852,509
2019-02-24,164320,509
2019-02-25,163875,509
2019-02-26,163657,509
