date,listeners,rank
2018-11-01,139554,838
2018-11-02,139554,838
2018-11-04,165961,838
2018-11-07,165961,838
2018-11-08,165961,838
2018-11-09,185452,838
2018-11-10,185452,838
2018-11-11,185452,838
2018-11-12,185452,838
2018-11-13,201637,838
2018-11-14,205075,838
2018-11-15,208398,838
2018-11-16,211541,838
2018-11-17,214629,838
2018-11-18,210564,838
2018-11-19,207317,838
2018-11-20,205630,838
2018-11-21,202637,838
2018-11-22,197773,838
2018-11-23,193249,838
2018-11-24,186999,838
2018-11-25,182777,838
2018-11-26,179685,838
2018-11-27,177886,838
2018-11-28,176505,838
2018-11-29,174975,838
2018-11-30,173056,838
2018-12-01,169952,838
2018-12-02,168140,838
2018-12-03,166677,838
2018-12-04,165810,838
2018-12-05,163971,838
2018-12-06,161635,838
2018-12-07,160085,838
2018-12-08,159470,838
2018-12-09,158327,838
2018-12-10,157489,838
2018-12-11,156901,838
2018-12-12,155132,838
2018-12-13,153756,838
2018-12-14,152386,838
2018-12-15,151418,838
2018-12-16,150736,838
2018-12-17,150574,838
2018-12-18,150008,838
2018-12-19,150320,838
2018-12-20,150382,838
2018-12-21,150515,838
2018-12-22,150317,838
2018-12-23,149705,838
2018-12-24,149663,838
2018-12-25,149227,838
2018-12-26,148386,838
2018-12-27,146803,838
2018-12-28,146311,838
2018-12-29,146012,838
2018-12-30,146147,838
2018-12-31,146455,838
2019-01-01,146590,838
2019-01-02,146634,838
2019-01-03,146376,838
2019-01-04,146490,838
2019-01-05,146080,838
2019-01-06,146428,838
2019-01-07,146745,838
2019-01-08,146687,838
2019-01-09,146989,838
2019-01-10,146656,838
2019-01-11,146797,838
2019-01-12,146773,838
2019-01-13,146386,838
2019-01-14,145891,838
2019-01-15,145587,838
2019-01-16,144795,838
2019-01-17,144240,838
2019-01-18,143607,838
2019-01-19,143176,838
2019-01-20,143097,838
2019-01-21,142946,838
2019-01-22,142893,838
2019-01-23,143236,838
2019-01-24,143927,838
2019-01-25,143905,838
2019-01-26,143461,838
2019-01-27,142781,838
2019-01-28,142062,838
2019-01-29,141761,838
2019-01-30,141432,838
2019-01-31,141097,838
2019-02-01,140511,838
2019-02-02,139898,838
2019-02-03,138678,838
2019-02-04,138111,838
2019-02-05,137598,838
2019-02-06,137084,838
2019-02-07,136535,838
2019-02-08,135601,838
2019-02-09,135358,838
2019-02-10,135475,838
2019-02-11,135723,838
2019-02-12,135502,838
2019-02-13,135523,838
2019-02-14,135601,838
2019-02-15,135674,838
2019-02-16,135786,838
2019-02-17,135725,838
2019-02-18,135365,838
2019-02-19,135016,838
2019-02-20,134735,838
2019-02-21,134435,838
2019-02-22,134571,838
2019-02-24,134526,838
2019-02-25,134462,838
2019-02-26,133929,838
2019-02-27,133751,838
2019-03-02,133378,838
2019-03-03,133643,838
2019-03-04,133751,838
2019-03-05,133446,838
2019-03-06,133155,838
2019-03-07,132802,838
2019-03-08,132739,838
2019-03-09,132417,838
2019-03-10,132021,838
2019-03-11,131661,838
2019-03-12,131244,838
2019-03-13,131049,838
2019-03-14,130965,838
2019-03-15,130553,838
2019-03-16,129949,838
2019-03-17,129487,838
2019-03-18,129514,838
2019-03-19,129374,838
2019-03-20,129231,838
2019-03-21,128811,838
2019-03-22,128675,838
2019-03-23,128299,838
2019-03-24,128227,838
2019-03-25,128236,838
2019-03-26,128130,838
2019-03-27,127967,838
2019-03-28,128037,838
2019-03-29,127968,838
2019-03-30,127726,838
2019-03-31,127372,838
2019-04-01,127043,838
2019-04-02,126951,838
2019-04-03,127123,838
2019-04-04,127451,838
2019-04-05,127647,838
2019-04-06,130019,838
2019-04-07,136319,838
2019-04-08,141779,838
2019-04-09,146314,838
2019-04-10,151928,838
2019-04-11,157387,838
2019-04-13,170113,838
2019-04-15,182617,838
2019-04-17,190593,838
2019-04-19,200038,838
2019-04-23,217265,838
2019-04-26,228662,838
2019-04-27,232406,838
2019-04-28,235932,838
2019-04-29,239283,838
2019-04-30,241525,838
2019-05-01,244105,838
2019-05-02,246762,838
2019-05-03,248839,838
2019-05-04,250754,838
2019-05-05,250933,838
2019-05-06,250414,838
2019-05-07,250414,838
2019-05-09,247596,838
2019-05-10,247596,838
2019-05-11,246155,838
2019-05-12,244315,838
2019-05-13,242426,838
2019-05-15,241422,838
2019-05-19,234356,838
2019-05-20,231695,838
2019-05-23,229499,838
2019-05-26,226847,838
2019-05-29,226614,838
2019-06-01,227205,838
2019-06-04,222693,838
2019-06-10,213442,838
2019-06-18,201869,838
2019-06-20,199127,838
2019-06-21,197385,838
2019-06-22,195463,838
2019-06-23,193170,838
2019-06-24,191008,838
2019-06-25,189409,838
2019-06-26,187388,838
2019-06-27,185634,838
2019-06-28,183515,838
2019-06-29,181821,838
2019-06-30,180837,838
2019-07-01,180366,838
2019-07-02,180351,838
2019-07-03,180182,838
2019-07-04,179913,838
2019-07-05,179714,838
2019-07-06,179123,838
2019-07-07,178134,838
2019-07-08,177453,838
2019-07-09,176506,838
2019-07-10,175965,838
2019-07-11,174960,838
2019-07-12,174373,838
2019-07-13,174075,838
2019-07-14,174024,838
2019-07-15,174334,838
2019-07-16,174252,838
2019-07-17,174341,838
2019-07-18,174308,838
2019-07-19,173540,838
2019-07-22,174678,838
2019-07-23,174859,838
2019-07-24,175432,838
2019-07-25,176078,838
2019-07-26,176624,838
2019-07-27,176913,838
2019-07-28,177028,838
2019-07-29,177163,838
2019-07-30,177255,838
2019-07-31,177424,838
2019-08-01,177720,838
2019-08-02,177923,838
2019-08-03,178551,838
2019-08-04,179124,838
2019-08-05,179379,838
2019-08-06,179896,838
2019-08-07,180462,838
2019-08-08,181603,838
2019-08-09,182524,838
2019-08-10,183432,838
2019-08-11,184244,838
2019-08-13,185332,838
2019-08-14,185948,838
2019-08-15,186568,838
2019-08-16,187167,838
2019-08-17,187801,838
2019-08-18,188264,838
2019-08-19,188453,838
2019-08-20,188198,838
2019-08-21,187882,838
2019-08-22,187467,838
2019-08-23,187368,838
2019-08-24,187231,838
2019-08-25,186683,838
2019-08-26,186099,838
2019-08-27,185419,838
2019-08-28,185071,838
2019-08-29,184798,838
2019-08-30,184623,838
2019-08-31,184453,838
2019-09-01,184536,838
2019-09-02,184890,838
2019-09-03,184851,838
2019-09-04,184757,838
2019-09-05,184617,838
2019-09-06,184226,838
2019-09-07,183514,838
2019-09-08,182973,838
2019-09-09,182407,838
2019-09-10,181789,838
2019-09-11,181447,838
2019-09-12,181060,838
2019-09-13,180932,838
2019-09-14,180663,838
2019-09-15,180236,838
2019-09-16,180003,838
2019-09-17,179814,838
2019-09-18,180012,838
2019-09-19,179987,838
2019-09-21,178821,838
2019-09-22,178518,838
2019-09-23,178196,838
2019-09-25,177219,838
2019-09-26,176604,838
2019-09-27,176238,838
2019-09-29,174846,838
2019-10-01,174037,838
2019-10-02,173834,838
2019-10-03,173290,838
2019-10-04,172954,838
2019-10-05,172980,838
2019-10-06,172901,838
2019-10-07,172870,838
2019-10-08,172207,838
2019-10-09,171591,838
2019-10-10,170922,838
2019-10-11,170561,838
2019-10-14,169930,838
2019-10-15,169661,838
2019-10-16,169467,838
2019-10-17,168976,838
2019-10-19,168774,838
2019-10-20,168640,838
2019-10-21,168540,838
2019-10-22,168437,838
2019-10-23,168245,838
2019-10-24,167924,838
2019-10-25,167476,838
2019-10-26,167447,838
2019-10-27,167154,838
2019-10-28,166873,838
2019-10-29,166405,838
2019-10-30,165866,838
2019-10-31,165420,838
2019-11-01,161456,838
2019-11-02,161456,838
2019-11-03,160970,838
2019-11-04,160388,838
2019-11-05,160084,838
2019-11-06,159780,838
2019-11-07,159271,838
2019-11-08,158760,838
2019-11-09,157914,838
2019-11-10,156873,838
2019-11-11,155828,838
2019-11-12,154807,838
2019-11-13,154183,838
2019-11-14,153867,838
2019-11-15,153378,838
2019-11-17,152487,838
2019-11-18,151991,838
2019-11-19,152048,838
2019-11-20,151737,838
2019-11-21,151458,838
2019-11-22,150870,838
2019-11-23,150234,838
2019-11-24,149555,838
2019-11-25,149064,838
2019-11-26,148434,838
2019-11-27,148236,838
2019-11-28,147755,838
2019-11-29,151221,838
2019-11-30,150531,838
2019-12-01,149949,838
2019-12-03,149854,838
2019-12-04,149726,838
2019-12-07,152237,838
2019-12-08,154629,838
2019-12-09,156388,838
2019-12-10,157875,838
2019-12-12,160232,838
2019-12-13,160648,838
2019-12-15,161015,838
2019-12-16,161523,838
2019-12-17,161720,838
2019-12-18,162286,838
2019-12-19,162633,838
2019-12-20,163091,838
2019-12-21,163261,838
2019-12-22,163499,838
2019-12-27,165847,838
2019-12-28,165847,838
2019-12-29,165723,838
2019-12-30,165830,838
2019-12-31,166191,838
2020-01-01,166528,838
2020-01-02,166524,838
2020-01-03,166435,838
2020-01-04,164326,838
2020-01-05,162414,838
2020-01-06,161514,838
2020-01-07,160629,838
2020-01-08,160199,838
2020-01-09,159230,838
2020-01-10,158680,838
2020-01-11,158106,838
2020-01-12,157637,838
2020-01-13,157394,838
2020-01-14,157024,838
2020-01-15,156381,838
2020-01-16,156141,838
2020-01-17,156099,838
2020-01-19,155485,838
2020-01-20,154883,838
2020-01-21,154541,838
2020-01-22,154393,838
2020-01-23,154273,838
2020-01-24,153984,838
2020-01-25,153623,838
2020-01-26,153113,838
2020-01-27,152751,838
2020-01-28,152405,838
2020-01-30,151472,838
2020-01-31,151172,838
2020-02-01,151156,838
2020-02-03,150940,838
2020-02-04,150429,838
2020-02-05,149961,838
2020-02-06,149380,838
2020-02-07,149207,838
2020-02-08,149039,838
2020-02-09,148624,838
2020-02-10,148279,838
2020-02-13,146890,838
2020-02-14,146885,838
2020-02-15,147177,838
2020-02-16,147317,838
2020-02-17,147417,838
2020-02-18,147203,838
2020-02-19,147134,838
2020-02-20,147139,838
2020-02-21,147275,838
2020-02-22,147457,838
2020-02-23,147833,838
2020-02-24,148037,838
2020-02-25,147599,838
2020-02-26,147083,838
2020-02-27,146429,838
2020-02-28,145806,838
2020-02-29,145404,838
2020-03-01,144734,838
2020-03-02,144230,838
2020-03-03,143833,838
2020-03-04,143718,838
2020-03-05,143599,838
2020-03-06,143635,838
2020-03-08,143772,838
2020-03-09,143977,838
2020-03-10,143972,838
2020-03-11,144695,838
2020-03-13,144751,838
2020-03-14,144344,838
2020-03-15,143893,838
2020-03-16,143637,838
2020-03-17,143401,838
2020-03-18,142831,838
2020-03-19,141785,838
2020-03-20,140791,838
2020-03-21,139544,838
2020-03-22,137889,838
2020-03-23,136453,838
2020-03-24,135627,838
2020-03-25,134919,838
2020-03-26,134193,838
2020-03-27,133457,838
2020-03-28,132769,838
2020-03-29,131832,838
2020-03-30,131128,838
2020-03-31,130421,838
2020-04-01,129141,838
2020-04-23,95605,838
2020-04-25,96051,838
2020-04-26,96153,838
2020-04-27,96243,838
2020-04-28,96421,838
2020-04-29,96406,838
2020-04-30,96246,838
2020-05-01,96337,838
2020-05-02,96192,838
2020-05-03,96246,838
2020-05-04,96246,838
2020-05-05,96386,838
2020-05-06,96386,838
2020-05-07,96386,838
2020-05-08,96386,838
2020-05-09,96386,838
2020-05-10,97235,838
2020-05-11,97235,838
2020-05-12,97235,838
2020-05-13,97235,838
2020-05-14,97235,838
2020-05-15,97810,838
2020-05-16,97574,838
2020-05-17,97810,838
2020-05-18,97810,838
2020-05-19,97810,838
2020-05-20,97574,838
2020-05-21,97561,838
2020-05-22,97561,838
2020-05-23,97561,838
2020-05-24,97561,838
2020-05-25,95414,838
2020-05-26,95414,838
2020-05-27,95414,838
2020-05-28,95414,838
2020-05-29,95414,838
2020-05-30,110382,838
2020-05-31,110382,838
2020-06-01,110382,838
2020-06-02,110382,838
2020-06-03,110382,838
2020-06-04,178084,838
2020-06-05,178084,838
2020-06-06,178084,838
2020-06-07,178084,838
2020-06-08,178084,838
2020-06-09,218812,838
2020-06-10,218812,838
2020-06-11,218812,838
2020-06-12,218812,838
2020-06-14,236813,838
2020-06-15,236813,838
2020-06-16,236813,838
2020-06-17,236813,838
2020-06-18,236813,838
2020-06-19,252049,838
2020-06-20,252049,838
2020-06-21,252049,838
2020-06-22,252049,838
2020-06-23,262656,838
2020-06-24,264697,838
2020-06-25,264697,838
2020-06-26,264697,838
2020-06-27,264697,838
2020-06-28,264697,838
2020-06-29,260416,838
2020-06-30,257206,838
2020-07-01,256585,838
2020-07-02,256585,838
2020-07-03,256585,838
2020-07-04,256585,838
2020-07-05,256585,838
2020-07-06,264274,838
2020-07-07,264274,838
2020-07-08,264274,838
2020-07-09,264274,838
2020-07-10,264274,838
2020-07-11,278792,838
2020-07-12,278792,838
2020-07-13,278792,838
2020-07-14,278792,838
2020-07-15,278792,838
2020-07-16,293071,838
2020-07-17,293071,838
2020-07-18,293071,838
2020-07-19,293071,838
2020-07-20,293071,838
2020-07-21,310532,838
2020-07-22,310532,838
2020-07-23,310532,838
2020-07-24,310532,838
2020-07-25,310532,838
2020-07-26,327374,838
2020-07-27,327374,838
2020-07-28,327374,838
2020-07-29,327374,838
2020-07-30,317740,838
2020-07-31,317740,838
2020-08-01,317740,838
2020-08-02,317740,838
2020-08-03,317740,838
2020-08-04,300344,838
2020-08-05,300344,838
2020-08-06,300344,838
2020-08-07,290741,838
2020-08-08,290741,838
2020-08-09,290741,838
2020-08-10,290741,838
2020-08-11,290741,838
2020-08-12,276385,838
2020-08-13,276385,838
2020-08-14,276385,838
2020-08-15,276385,838
2020-08-16,267781,838
2020-08-17,264014,838
2020-08-18,261309,838
2020-08-19,259313,838
2020-08-20,259313,838
2020-08-21,255765,838
2020-08-22,255765,838
2020-08-23,255765,838
2020-08-24,240723,838
2020-08-25,240723,838
2020-08-26,240723,838
2020-08-27,240723,838
2020-08-28,236240,838
2020-08-29,236003,838
2020-08-30,245974,838
2020-08-31,259308,838
2020-09-01,268708,838
2020-09-02,276619,838
2020-09-03,284241,838
2020-09-04,291914,838
2020-09-05,299352,838
2020-09-06,299352,838
2020-09-07,316632,838
2020-09-08,321559,838
2020-09-09,327058,838
2020-09-10,330833,838
2020-09-11,330833,838
2020-09-12,336837,838
2020-09-13,341873,838
2020-09-14,348091,838
2020-09-15,353108,838
2020-09-16,353108,838
2020-09-17,353108,838
2020-09-18,353108,838
2020-09-19,353108,838
2020-09-20,373078,838
2020-09-21,378127,838
2020-09-22,378127,838
2020-09-23,378127,838
2020-09-24,378127,838
2020-09-25,378127,838
2020-09-26,391568,838
2020-09-27,391568,838
2020-09-28,383902,838
2020-09-29,379503,838
2020-09-30,379503,838
2020-10-01,379503,838
2020-10-02,379503,838
2020-10-03,379503,838
2020-10-04,379503,838
2020-10-05,370918,838
2020-10-06,370918,838
2020-10-07,370918,838
2020-10-08,370918,838
2020-10-09,370918,838
2020-10-10,390271,838
2020-10-11,390271,838
2020-10-12,390271,838
2020-10-13,390271,838
2020-10-14,390271,838
2020-10-15,395325,838
2020-10-16,395325,838
2020-10-17,395325,838
2020-10-18,395325,838
2020-10-19,395325,838
2020-10-20,401430,838
2020-10-21,403179,838
2020-10-22,403179,838
2020-10-23,403179,838
2020-10-24,403179,838
2020-10-25,403179,838
2020-10-26,413553,838
2020-10-27,413553,838
2020-10-28,413553,838
2020-10-29,413553,838
2020-10-30,413553,838
2020-10-31,420019,838
2020-11-01,420019,838
2020-11-02,420019,838
2020-11-03,420019,838
2020-11-04,420019,838
2020-11-05,392252,838
2020-11-06,392252,838
2020-11-07,392252,838
2020-11-08,392252,838
2020-11-09,392252,838
2020-11-10,378605,838
2020-11-11,378605,838
2020-11-12,378605,838
2020-11-13,378605,838
2020-11-14,378605,838
2020-11-15,365998,838
2020-11-16,365998,838
2020-11-17,365998,838
2020-11-18,365998,838
2020-11-19,365998,838
2020-11-20,352626,838
2020-11-21,352626,838
2020-11-22,352626,838
2020-11-23,352626,838
2020-11-24,352626,838
2020-11-25,340632,838
2020-11-26,340632,838
2020-11-27,340632,838
2020-11-28,340632,838
2020-11-29,340632,838
2020-11-30,327143,838
2020-12-01,327143,838
2020-12-02,326119,838
2020-12-03,326119,838
2020-12-04,326119,838
2020-12-05,326119,838
2020-12-06,326119,838
2020-12-07,326119,838
2020-12-08,317146,838
2020-12-09,317146,838
2020-12-10,317146,838
2020-12-11,317146,838
2020-12-12,317146,838
2020-12-13,311574,838
2020-12-14,311574,838
2020-12-15,311574,838
2020-12-16,308904,838
2020-12-17,308904,838
2020-12-18,308904,838
2020-12-19,308904,838
2020-12-20,308904,838
2020-12-21,306097,838
2020-12-23,306097,838
2020-12-24,306097,838
2020-12-25,306097,838
2020-12-26,306116,838
2020-12-28,306116,838
2020-12-29,306116,838
2020-12-30,306116,838
2020-12-31,303896,838
2021-01-01,303896,838
2021-01-02,303896,838
2021-01-03,303896,838
2021-01-04,303896,838
2021-01-05,302347,838
2021-01-06,302347,838
2021-01-07,302347,838
2021-01-08,302347,838
2021-01-09,302347,838
2021-01-10,300601,838
2021-01-11,300601,838
2021-01-12,300601,838
2021-01-13,299571,838
2021-01-14,299571,838
2021-01-15,299571,838
2021-01-16,299571,838
2021-01-17,299571,838
2021-01-18,295178,838
2021-01-19,295178,838
2021-01-20,295178,838
2021-01-21,295178,838
2021-01-22,290858,838
2021-01-23,290858,838
2021-01-24,290858,838
2021-01-25,290858,838
2021-01-26,290858,838
2021-01-27,287347,838
2021-01-28,287347,838
2021-01-29,287347,838
2021-01-30,287347,838
2021-01-31,287347,838
2021-02-01,280839,838
2021-02-02,280839,838
2021-02-03,280839,838
2021-02-04,280839,838
2021-02-05,280839,838
2021-02-06,275941,838
2021-02-07,275941,838
2021-02-08,275941,838
2021-02-09,275941,838
2021-02-10,272814,838
2021-02-11,272157,838
2021-02-12,271629,838
2021-02-13,270931,838
2021-02-14,270931,838
2021-02-15,269577,838
2021-02-16,268933,838
2021-02-18,267668,838
2021-02-19,266545,838
2021-02-20,265768,838
2021-02-21,264953,838
2021-02-22,264266,838
2021-02-23,263409,838
2021-02-24,262644,838
2021-02-25,262487,838
2021-02-26,261484,838
2021-02-27,260516,838
2021-02-28,259448,838
2021-03-01,258258,838
2021-03-02,256987,838
2021-03-03,256395,838
2021-03-04,255868,838
2021-03-05,255082,838
2021-03-09,249436,838
2021-03-10,247994,838
2021-03-11,246702,838
2021-03-12,245128,838
2021-03-13,243522,838
2021-03-14,242030,838
2021-03-15,240904,838
2021-03-16,239331,838
2021-03-17,237655,838
2021-03-18,236017,838
2021-03-19,234616,838
2021-03-20,232924,838
2021-04-20,193204,838
2021-04-21,193204,838
2021-04-22,193610,838
2021-04-23,194167,838
2021-04-24,194466,838
2021-04-25,194756,838
2021-04-26,195467,838
2021-04-27,195833,838
2021-04-28,196257,838
2021-04-29,196551,838
2021-04-30,196834,838
2021-05-01,196819,838
2021-05-02,196974,838
2021-05-03,197669,838
2021-05-04,198153,838
2021-05-05,198241,838
2021-05-06,198786,838
2021-05-07,198913,838
2021-05-08,199116,838
2021-05-09,200537,838
2021-05-10,201048,838
2021-05-11,201336,838
2021-05-12,201717,838
2021-05-13,202308,838
2021-05-14,202731,838
2021-05-15,202856,838
2021-05-16,202648,838
2021-05-17,202498,838
2021-05-18,202591,838
2021-05-19,202713,838
2021-05-20,202615,838
2021-05-21,202225,838
2021-05-22,202225,838
2021-05-23,202412,838
2021-05-24,201988,838
2021-05-25,201988,838
2021-05-26,200974,838
2021-05-27,200928,838
2021-05-28,201119,838
2021-05-29,201175,838
2021-05-30,201567,838
2021-05-31,201450,838
2021-06-01,200550,838
2021-06-02,200381,838
2021-06-03,200447,838
2021-06-04,201033,838
2021-06-05,201574,838
2021-06-06,200914,838
2021-06-07,200655,838
2021-06-08,200273,838
2021-06-09,200008,838
2021-06-10,199361,838
2021-06-11,199198,838
2021-06-12,198994,838
2021-06-13,199033,838
2021-06-14,199223,838
2021-06-15,199019,838
2021-06-16,199030,838
2021-06-17,198938,838
2021-06-18,198786,838
2021-06-19,198618,838
2021-06-20,198117,838
2021-06-21,198055,838
2021-06-22,197927,838
2021-06-23,197927,838
2021-06-24,197285,838
2021-06-25,197169,838
2021-06-26,196812,838
2021-06-27,196522,838
2021-06-28,196695,838
2021-06-29,197266,838
2021-06-30,197393,838
2021-07-01,196974,838
2021-07-02,196089,838
2021-07-03,194991,838
2021-07-04,194571,838
2021-07-05,193996,838
2021-07-06,193202,838
2021-07-07,192967,838
2021-07-08,193200,838
2021-07-09,193361,838
2021-07-10,193465,838
2021-07-11,193561,838
2021-07-12,193003,838
2021-07-13,192835,838
2021-07-14,192473,838
2021-07-15,192573,838
2021-07-16,192643,838
2021-07-17,192502,838
2021-07-18,192452,838
2021-07-19,192593,838
2021-07-20,192658,838
2021-07-21,192582,838
2021-07-22,192494,838
2021-07-23,192364,838
2021-07-24,192295,838
2021-07-25,191384,838
2021-07-26,191384,838
2021-07-27,188781,838
2021-07-28,187823,838
2021-07-29,187200,838
2021-07-30,187200,838
2021-07-31,185533,838
2021-08-01,184071,838
2021-08-02,184071,838
2021-08-17,169149,838
2021-08-18,169149,838
2021-08-19,168822,838
2021-08-20,167824,838
2021-08-21,166852,838
2021-08-22,166852,838
2021-08-23,166828,838
2021-08-24,166822,838
2021-08-25,166866,838
2021-08-26,166712,838
2021-08-27,167128,838
