date,listeners,rank
2018-11-01,226028,64
2018-11-02,226028,64
2018-11-04,249232,64
2018-11-07,249232,64
2018-11-08,249232,64
2018-11-09,268834,64
2018-11-10,268834,64
2018-11-11,268834,64
2018-11-12,268834,64
2018-11-13,284772,64
2018-11-14,287657,64
2018-11-15,290579,64
2018-11-16,293358,64
2018-11-17,295839,64
2018-11-18,295422,64
2018-11-19,295971,64
2018-11-20,296068,64
2018-11-21,295699,64
2018-11-22,295274,64
2018-11-23,294257,64
2018-11-24,293259,64
2018-11-25,291991,64
2018-11-26,290507,64
2018-11-27,289091,64
2018-11-28,288309,64
2018-11-29,287711,64
2018-11-30,286983,64
2018-12-01,286277,64
2018-12-02,285168,64
2018-12-03,284370,64
2018-12-04,283849,64
2018-12-05,283190,64
2018-12-06,282648,64
2018-12-07,281731,64
2018-12-08,281421,64
2018-12-09,281536,64
2018-12-10,281122,64
2018-12-11,280866,64
2018-12-12,280692,64
2018-12-13,280060,64
2018-12-14,279115,64
2018-12-15,278538,64
2018-12-16,277592,64
2018-12-17,276727,64
2018-12-18,276377,64
2018-12-19,275991,64
2018-12-20,275447,64
2018-12-21,274856,64
2018-12-22,274324,64
2018-12-23,273489,64
2018-12-24,272674,64
2018-12-25,271843,64
2018-12-26,271134,64
2018-12-27,269628,64
2018-12-28,268906,64
2018-12-29,268164,64
2018-12-30,267679,64
2018-12-31,267296,64
2019-01-01,266886,64
2019-01-02,267240,64
2019-01-03,266405,64
2019-01-04,266529,64
2019-01-05,266152,64
2019-01-06,266095,64
2019-01-07,266482,64
2019-01-08,267088,64
2019-01-09,267416,64
2019-01-10,267660,64
2019-01-11,267779,64
2019-01-12,267481,64
2019-01-13,267184,64
2019-01-14,267265,64
2019-01-15,267370,64
2019-01-16,267045,64
2019-01-17,266776,64
2019-01-18,266572,64
2019-01-19,266318,64
2019-01-20,266308,64
2019-01-21,266694,64
2019-01-22,267215,64
2019-01-23,267092,64
2019-01-24,267724,64
2019-01-25,267357,64
2019-01-26,266625,64
2019-01-27,266025,64
2019-01-28,265442,64
2019-01-29,264681,64
2019-01-30,262845,64
2019-01-31,262477,64
2019-02-01,261240,64
2019-02-02,260020,64
2019-02-03,258466,64
2019-02-04,257366,64
2019-02-05,256166,64
2019-02-06,255051,64
2019-02-07,253308,64
2019-02-08,251596,64
2019-02-09,250079,64
2019-02-10,249224,64
2019-02-11,248255,64
2019-02-12,247247,64
2019-02-13,246468,64
2019-02-14,245531,64
2019-02-15,244677,64
2019-02-16,243347,64
2019-02-17,243370,64
2019-02-18,243429,64
2019-02-19,243076,64
