date,listeners,rank
2018-11-01,180769,93
2018-11-02,180769,93
2018-11-04,192799,93
2018-11-07,192799,93
2018-11-08,192799,93
2018-11-09,204650,93
2018-11-10,204650,93
2018-11-11,204650,93
2018-11-12,204650,93
2018-11-13,214723,93
2018-11-14,216775,93
2018-11-15,219226,93
2018-11-16,220889,93
2018-11-17,222221,93
2018-11-18,221789,93
2018-11-19,221580,93
2018-11-20,222153,93
2018-11-21,222730,93
2018-11-22,224623,93
2018-11-23,226056,93
2018-11-24,227451,93
2018-11-25,227896,93
2018-11-26,229010,93
2018-11-27,229827,93
2018-11-28,231209,93
2018-11-29,232291,93
2018-11-30,233139,93
2018-12-01,233708,93
2018-12-02,233899,93
2018-12-03,234412,93
2018-12-04,234652,93
2018-12-05,235403,93
2018-12-06,235924,93
2018-12-07,236799,93
2018-12-08,237219,93
2018-12-09,238360,93
2018-12-10,239821,93
2018-12-11,240750,93
2018-12-12,241726,93
2018-12-13,242016,93
2018-12-14,242478,93
2018-12-15,243578,93
2018-12-16,244927,93
2018-12-17,246006,93
2018-12-18,246498,93
2018-12-19,247045,93
2018-12-20,246590,93
2018-12-21,246771,93
2018-12-22,247478,93
2018-12-23,249218,93
2018-12-24,250812,93
2018-12-25,251866,93
2018-12-26,253369,93
2018-12-27,254727,93
2018-12-28,255827,93
2018-12-29,256848,93
2018-12-30,257833,93
2018-12-31,258428,93
2019-01-01,258214,93
2019-01-02,258714,93
2019-01-03,258740,93
2019-01-04,258073,93
2019-01-05,257666,93
2019-01-06,256963,93
2019-01-07,255814,93
2019-01-08,254994,93
2019-01-09,253821,93
2019-01-10,253031,93
2019-01-11,251904,93
2019-01-12,250238,93
2019-01-13,248772,93
2019-01-14,247835,93
2019-01-15,246484,93
2019-01-16,244947,93
2019-01-17,243164,93
2019-01-18,241473,93
2019-01-19,239531,93
2019-01-20,236784,93
2019-01-21,234459,93
2019-01-22,232510,93
2019-01-23,229787,93
2019-01-24,226970,93
2019-01-25,224912,93
2019-01-26,222754,93
2019-01-27,220678,93
2019-01-28,218573,93
2019-01-29,217221,93
2019-01-30,214917,93
2019-01-31,213275,93
2019-02-01,212365,93
2019-02-02,211424,93
2019-02-03,210629,93
2019-02-04,210221,93
2019-02-05,209461,93
2019-02-06,209054,93
2019-02-07,208937,93
2019-02-08,208128,93
2019-02-09,207608,93
2019-02-10,207286,93
2019-02-11,206660,93
2019-02-12,206556,93
2019-02-13,205992,93
2019-02-14,205655,93
2019-02-15,205540,93
2019-02-16,204973,93
2019-02-17,204303,93
2019-02-18,203509,93
2019-02-19,202262,93
2019-02-20,201076,93
2019-02-21,200264,93
2019-02-22,199185,93
2019-02-24,196928,93
2019-02-25,195623,93
2019-02-26,194293,93
2019-02-27,193432,93
2019-03-02,190124,93
2019-03-03,189178,93
2019-03-04,187856,93
2019-03-05,186356,93
2019-03-06,185525,93
2019-03-07,183639,93
2019-03-08,182974,93
2019-03-09,182633,93
2019-03-10,182268,93
2019-03-11,181769,93
2019-03-12,180535,93
2019-03-13,180005,93
2019-03-14,179412,93
2019-03-15,178701,93
2019-03-16,177964,93
