date,followers,followerdifference,monthlylisteners,monthlylistenersdifference
2016-11-26,118977,0,0,0
2016-11-27,120688,1711,0,0
2016-11-28,122340,1652,0,0
2016-11-29,123601,1261,0,0
2016-11-30,124931,1330,0,0
2016-12-01,126157,1226,0,0
2016-12-02,127352,1195,0,0
2016-12-03,128459,1107,0,0
2016-12-04,129666,1207,0,0
2016-12-05,131169,1503,0,0
2016-12-06,132230,1061,0,0
2016-12-08,134316,2086,0,0
2016-12-09,135451,1135,0,0
2016-12-10,136468,1017,0,0
2016-12-11,137967,1499,0,0
2016-12-12,139214,1247,0,0
2016-12-13,140395,1181,0,0
2016-12-14,141800,1405,0,0
2016-12-15,142908,1108,0,0
2016-12-16,143934,1026,0,0
2016-12-17,145246,1312,0,0
2016-12-18,146469,1223,0,0
2016-12-19,147635,1166,0,0
2016-12-20,149083,1448,0,0
2016-12-21,150247,1164,0,0
2016-12-22,151290,1043,0,0
2016-12-23,152707,1417,0,0
2016-12-24,154035,1328,0,0
2016-12-25,155086,1051,0,0
2016-12-26,156578,1492,0,0
2016-12-27,158096,1518,0,0
2016-12-28,159460,1364,0,0
2016-12-29,161148,1688,0,0
2016-12-30,162571,1423,0,0
2016-12-31,163849,1278,0,0
2017-01-01,165030,1181,0,0
2017-01-02,166469,1439,0,0
2017-01-03,167803,1334,0,0
2017-01-04,168922,1119,0,0
2017-01-05,170281,1359,0,0
2017-01-06,171589,1308,0,0
2017-01-07,172776,1187,0,0
2017-01-08,174370,1594,0,0
2017-01-09,175649,1279,0,0
2017-01-10,176657,1008,0,0
2017-01-11,177880,1223,0,0
2017-01-12,179033,1153,0,0
2017-01-13,180067,1034,0,0
2017-01-14,181436,1369,0,0
2017-01-15,182920,1484,0,0
2017-01-16,184324,1404,0,0
2017-01-17,185550,1226,0,0
2017-01-18,186819,1269,0,0
2017-01-19,188125,1306,0,0
2017-01-21,190888,2763,0,0
2017-01-22,192476,1588,0,0
2017-01-23,194002,1526,0,0
2017-01-24,195277,1275,0,0
2017-01-25,196390,1113,0,0
2017-01-27,198865,2475,0,0
2017-01-28,200168,1303,0,0
2017-01-29,201589,1421,0,0
2017-01-30,202854,1265,0,0
2017-01-31,203971,1117,0,0
2017-02-01,205141,1170,0,0
