date,followers,followerdifference,likes,likesdifference
2020-06-17,10400000,,53000000,0
2020-06-18,10400000,0,53000000,0
2020-06-19,10400000,0,53100000,100000
2020-06-20,10400000,0,53300000,200000
2020-06-21,10500000,100000,53400000,100000
2020-06-22,10500000,0,53500000,100000
2020-06-23,10500000,0,53600000,100000
2020-06-24,10700000,200000,57100000,3500000
2020-06-25,10700000,0,57900000,800000
2020-06-26,10800000,100000,58600000,700000
2020-06-27,11000000,200000,60800000,2200000
2020-06-28,11100000,100000,62500000,1700000
2020-06-29,11300000,200000,63600000,1100000
2020-06-30,11300000,0,64300000,700000
2020-07-01,11700000,400000,66000000,1700000
2020-07-02,12300000,600000,75000000,9000000
2020-07-03,12600000,300000,77800000,2800000
2020-07-04,12800000,200000,79900000,2100000
2020-07-05,13000000,200000,81100000,1200000
2020-07-06,13100000,100000,82300000,1200000
2020-07-07,13200000,100000,83000000,700000
2020-07-08,13400000,200000,84100000,1100000
2020-07-09,13400000,0,84400000,300000
2020-07-10,13500000,100000,84900000,500000
2020-07-11,13600000,100000,85500000,600000
2020-07-13,13800000,200000,86900000,1400000
2020-07-14,13800000,0,87000000,100000
2020-07-15,13900000,100000,87400000,400000
2020-07-16,13900000,0,87900000,500000
2020-07-17,14000000,100000,88400000,500000
2020-07-18,14100000,100000,88800000,400000
2020-07-19,14100000,0,89300000,500000
2020-07-20,14200000,100000,91200000,1900000
2020-07-21,14300000,100000,92300000,1100000
2020-07-22,14400000,100000,93000000,700000
2020-07-23,14400000,0,93600000,600000
2020-07-24,14500000,100000,94200000,600000
2020-07-25,14600000,100000,94700000,500000
2020-07-26,14600000,0,95200000,500000
2020-07-27,14700000,100000,95800000,600000
2020-07-28,14800000,100000,96300000,500000
2020-07-29,14800000,0,96600000,300000
2020-07-30,14900000,100000,97100000,500000
2020-07-31,14900000,0,97700000,600000
2020-08-01,15000000,100000,98100000,400000
2020-08-02,15000000,0,98500000,400000
2020-08-03,15100000,100000,98800000,300000
2020-08-04,15100000,0,99200000,400000
2020-08-05,15200000,100000,99500000,300000
2020-08-06,15200000,0,99900000,400000
2020-08-07,15300000,100000,100200000,300000
2020-08-08,15300000,0,100600000,400000
2020-08-09,15400000,100000,101000000,400000
2020-08-10,15400000,0,101300000,300000
2020-08-11,15500000,100000,101700000,400000
2020-08-12,15500000,0,102000000,300000
2020-08-13,15500000,0,102300000,300000
2020-08-14,15600000,100000,102600000,300000
2020-08-15,15600000,0,103000000,400000
2020-08-16,15700000,100000,103400000,400000
2020-08-17,15800000,100000,103700000,300000
2020-08-18,15800000,0,104000000,300000
2020-08-19,15800000,0,104300000,300000
2020-08-20,15900000,100000,104600000,300000
2020-08-21,15900000,0,104900000,300000
2020-08-22,16000000,100000,105200000,300000
2020-08-23,16000000,0,105500000,300000
2020-08-24,16000000,0,105800000,300000
2020-08-25,16100000,100000,106100000,300000
2020-08-26,16100000,0,106400000,300000
2020-08-27,16200000,100000,106700000,300000
2020-08-28,16200000,0,107000000,300000
2020-08-29,16200000,0,107300000,300000
2020-08-30,16300000,100000,107700000,400000
2020-08-31,16300000,0,108000000,300000
2020-09-01,16300000,0,108300000,300000
2020-09-02,16400000,100000,108500000,200000
2020-09-03,16400000,0,108800000,300000
2020-09-04,16500000,100000,109100000,300000
2020-09-05,16500000,0,109300000,200000
2020-09-06,16500000,0,109600000,300000
2020-09-07,16600000,100000,109900000,300000
2020-09-08,16600000,0,110200000,300000
2020-09-09,16700000,100000,110400000,200000
2020-09-10,16700000,0,110700000,300000
2020-09-11,17000000,300000,115600000,4900000
2020-09-12,17200000,200000,118100000,2500000
2020-09-13,17300000,100000,120700000,2600000
2020-09-14,17400000,100000,124000000,3300000
2020-09-15,17500000,100000,126500000,2500000
2020-09-16,17600000,100000,127600000,1100000
2020-09-17,17600000,0,128300000,700000
2020-09-18,17700000,100000,128900000,600000
2020-09-19,17700000,0,129500000,600000
2020-09-20,17800000,100000,130000000,500000
2020-09-21,17800000,0,130500000,500000
2020-09-22,17800000,0,130800000,300000
2020-09-23,17900000,100000,131300000,500000
2020-09-24,17900000,0,131700000,400000
2020-09-25,18000000,100000,132100000,400000
2020-09-26,18000000,0,132500000,400000
2020-09-27,18100000,100000,132800000,300000
2020-09-28,18100000,0,133300000,500000
2020-09-29,18200000,100000,133700000,400000
2020-09-30,18200000,0,134100000,400000
2020-10-01,18200000,0,134400000,300000
2020-10-02,18300000,100000,134600000,200000
2020-10-03,18300000,0,135600000,1000000
2020-10-04,18300000,0,136400000,800000
2020-10-05,18400000,100000,136900000,500000
2020-10-06,18400000,0,137200000,300000
2020-10-07,18400000,0,137600000,400000
2020-10-08,18500000,100000,137900000,300000
2020-10-09,18500000,0,138100000,200000
2020-10-10,18500000,0,138400000,300000
2020-10-11,18600000,100000,138700000,300000
2020-10-12,18600000,0,139000000,300000
2020-10-13,18600000,0,139200000,200000
2020-10-14,18600000,0,139400000,200000
2020-10-15,18700000,100000,140500000,1100000
2020-10-16,18800000,100000,141100000,600000
2020-10-17,18800000,0,141900000,800000
2020-10-18,18800000,0,142700000,800000
2020-10-19,18900000,100000,143200000,500000
2020-10-20,18900000,0,143600000,400000
2020-10-21,19000000,100000,144000000,400000
2020-10-22,19000000,0,144400000,400000
2020-10-23,19100000,100000,144900000,500000
2020-10-24,19100000,0,145200000,300000
2020-10-25,19100000,0,145600000,400000
2020-10-26,19100000,0,146000000,400000
2020-10-27,19200000,100000,146200000,200000
2020-10-28,19200000,0,146400000,200000
2020-10-29,19200000,0,146700000,300000
2020-10-30,19300000,100000,146900000,200000
2020-10-31,19300000,0,147200000,300000
2020-11-01,19300000,0,147400000,200000
2020-11-02,19300000,0,147600000,200000
2020-11-03,19300000,0,147800000,200000
2020-11-04,19400000,100000,148000000,200000
2020-11-05,19400000,0,148200000,200000
2020-11-06,19400000,0,148500000,300000
2020-11-07,19400000,0,148500000,0
2020-11-08,19400000,0,148700000,200000
2020-11-09,19500000,100000,148900000,200000
2020-11-10,19500000,0,149100000,200000
2020-11-11,19500000,0,149300000,200000
2020-11-12,19500000,0,149400000,100000
2020-11-13,19500000,0,149600000,200000
2020-11-14,19600000,100000,149800000,200000
2020-11-15,19600000,0,150000000,200000
2020-11-16,19600000,0,150200000,200000
2020-11-17,19600000,0,150400000,200000
2020-11-18,19600000,0,150500000,100000
2020-11-19,19700000,100000,150700000,200000
2020-11-20,19700000,0,150900000,200000
2020-11-21,19700000,0,151000000,100000
2020-11-22,19700000,0,151200000,200000
2020-11-23,19700000,0,151400000,200000
2020-11-24,19800000,100000,151600000,200000
2020-11-25,19800000,0,151700000,100000
2020-11-26,19800000,0,151900000,200000
2020-11-27,19800000,0,152100000,200000
2020-11-28,19800000,0,152200000,100000
2020-11-29,19800000,0,152400000,200000
2020-11-30,19900000,100000,152600000,200000
2020-12-01,19900000,0,152700000,100000
2020-12-02,19900000,0,152900000,200000
2020-12-03,19900000,0,153000000,100000
2020-12-04,19900000,0,153200000,200000
2020-12-05,20000000,100000,153300000,100000
2020-12-06,20000000,0,153500000,200000
2020-12-07,20000000,0,153700000,200000
2020-12-08,20000000,0,153800000,100000
2020-12-09,20000000,0,154000000,200000
2020-12-10,20000000,0,154100000,100000
2020-12-11,20000000,0,154300000,200000
2020-12-12,20100000,100000,154400000,100000
2020-12-13,20100000,0,154600000,200000
2020-12-14,20100000,0,154700000,100000
2020-12-15,20100000,0,154800000,100000
2020-12-16,20100000,0,155000000,200000
2020-12-17,20100000,0,155100000,100000
2020-12-18,20100000,0,155200000,100000
2020-12-19,20200000,100000,155400000,200000
2020-12-20,20200000,0,155500000,100000
2020-12-21,20200000,0,155600000,100000
2020-12-22,20200000,0,155800000,200000
2020-12-23,20200000,0,155900000,100000
2020-12-24,20200000,0,156000000,100000
2020-12-25,20200000,0,156200000,200000
2020-12-26,20300000,100000,156300000,100000
2020-12-27,20300000,0,156500000,200000
2020-12-28,20300000,0,156600000,100000
2020-12-29,20300000,0,156800000,200000
2020-12-30,20300000,0,156900000,100000
2020-12-31,20300000,0,157100000,200000
2021-01-01,20300000,0,157200000,100000
2021-01-02,20400000,100000,157400000,200000
2021-01-03,20400000,0,157500000,100000
2021-01-04,20400000,0,157700000,200000
2021-01-05,20400000,0,157800000,100000
2021-01-06,20400000,0,158000000,200000
2021-01-07,20400000,0,158100000,100000
2021-01-08,20500000,100000,158200000,100000
2021-01-09,20500000,0,158400000,200000
2021-01-10,20500000,0,158500000,100000
2021-01-11,20500000,0,158600000,100000
2021-01-12,20500000,0,158700000,100000
2021-01-13,20500000,0,158900000,200000
2021-01-14,20500000,0,159000000,100000
2021-01-15,20600000,100000,159200000,200000
2021-01-16,20600000,0,159300000,100000
2021-01-17,20600000,0,159400000,100000
2021-01-18,20600000,0,159500000,100000
2021-01-19,20600000,0,159600000,100000
2021-01-20,20600000,0,159800000,200000
2021-01-21,20700000,100000,159900000,100000
2021-01-22,20700000,0,160000000,100000
2021-01-23,20700000,0,160100000,100000
2021-01-24,20700000,0,160200000,100000
2021-01-25,20700000,0,160400000,200000
2021-01-26,20700000,0,160500000,100000
2021-01-27,20800000,100000,160600000,100000
2021-01-28,20800000,0,160700000,100000
2021-01-29,20800000,0,160800000,100000
2021-01-30,20800000,0,160900000,100000
2021-01-31,20800000,0,161100000,200000
2021-02-01,20800000,0,161200000,100000
2021-02-02,20800000,0,161300000,100000
