date,followers,followerdifference,retweets,retweetsdifference
2020-10-09,2072411,0,245245,0
2020-10-10,2085183,12772,127890,-117355
2020-10-11,2107898,22715,310480,182590
2020-10-12,2128889,20991,484178,173698
2020-10-13,2143018,14129,495181,11003
2020-10-14,2160659,17641,466709,-28472
2020-10-15,2183930,23271,592107,125398
2020-10-16,2198840,14910,613572,21465
2020-10-17,2213474,14634,661631,48059
2020-10-18,2231580,18106,549388,-112243
2020-10-19,2249836,18256,450235,-99153
2020-10-20,2263882,14046,456963,6728
2020-10-21,2278437,14555,347683,-109280
2020-10-22,2291920,13483,292384,-55299
2020-10-23,2303638,11718,264924,-27460
2020-10-24,2311705,8067,265373,449
2020-10-25,2327471,15766,154718,-110655
2020-10-26,2342772,15301,142343,-12375
2020-10-27,2355458,12686,146322,3979
2020-10-28,2367496,12038,94505,-51817
2020-10-29,2379158,11662,96755,2250
2020-10-30,2394439,15281,100303,3548
2020-10-31,2406801,12362,100925,622
2020-11-01,2417334,10533,101379,454
2020-11-02,2427385,10051,33540,-67839
2020-11-03,2437483,10098,17252,-16288
2020-11-04,2447982,10499,17334,82
2020-11-05,2458379,10397,0,-17334
2020-11-06,2466670,8291,0,0
2020-11-07,2478369,11699,0,0
2020-11-08,2489357,10988,0,0
2020-11-09,2499253,9896,0,0
2020-11-10,2508726,9473,17807,17807
2020-11-11,2518101,9375,19439,1632
2020-11-12,2528075,9974,61415,41976
2020-11-13,2536714,8639,96493,35078
2020-11-14,2545987,9273,109873,13380
2020-11-15,2553740,7753,111025,1152
2020-11-16,2561278,7538,111757,732
2020-11-17,2568804,7526,93458,-18299
2020-11-18,2577580,8776,128616,35158
2020-11-19,2586758,9178,85137,-43479
2020-11-20,2595910,9152,36925,-48212
2020-11-21,2604666,8756,37248,323
2020-11-22,2612262,7596,37589,341
2020-11-23,2625606,13344,97222,59633
2020-11-24,2635202,9596,103653,6431
2020-11-25,2645548,10346,88283,-15370
2020-11-26,2655415,9867,96876,8593
2020-11-27,2665207,9792,97905,1029
2020-11-28,2673396,8189,98415,510
2020-11-29,2682346,8950,98846,431
2020-11-30,2689919,7573,31735,-67111
2020-12-01,2698962,9043,65567,33832
2020-12-02,2707583,8621,40595,-24972
2020-12-03,2717307,9724,159453,118858
2020-12-04,2727270,9963,177240,17787
2020-12-05,2735982,8712,178885,1645
2020-12-06,2743558,7576,179516,631
2020-12-07,2756865,13307,180057,541
2020-12-08,2764299,7434,138374,-41683
2020-12-09,2772924,8625,144889,6515
2020-12-10,2776497,3573,40701,-104188
2020-12-11,2784408,7911,41665,964
2020-12-12,2791701,7293,42016,351
2020-12-13,2800832,9131,42211,195
2020-12-14,2808750,7918,42344,133
2020-12-15,2816273,7523,42451,107
2020-12-16,2823332,7059,42522,71
2020-12-17,2832290,8958,93762,51240
2020-12-18,2838099,5809,103832,10070
2020-12-19,2844570,6471,105315,1483
2020-12-20,2851249,6679,105888,573
2020-12-21,2857981,6732,115892,10004
2020-12-22,2864428,6447,143705,27813
2020-12-23,2872607,8179,157192,13487
2020-12-24,2878554,5947,67699,-89493
2020-12-25,2884261,5707,94892,27193
2020-12-26,2890869,6608,100219,5327
2020-12-27,2897011,6142,101276,1057
2020-12-28,2904260,7249,102022,746
2020-12-29,2911117,6857,76499,-25523
2020-12-30,2921416,10299,64574,-11925
2020-12-31,2931323,9907,46639,-17935
2021-01-01,2940963,9640,19161,-27478
2021-01-02,2949566,8603,19259,98
2021-01-03,2961709,12143,19443,184
2021-01-04,2971211,9502,0,-19443
2021-01-05,2979334,8123,0,0
2021-01-06,2986513,7179,0,0
2021-01-07,2993575,7062,0,0
