date,views,difference
2016-11-09,237864267,0
2016-11-10,245766795,7902528
2016-11-11,245766795,0
2016-11-12,252704930,6938135
2016-11-13,252704930,0
2016-11-14,256540800,3835870
2016-11-15,263190866,6650066
2016-11-16,263190866,0
2016-11-17,265850507,2659641
2016-11-18,271202752,5352245
2016-11-19,271202752,0
2016-11-20,277203616,6000864
2016-11-21,281393158,4189542
2016-11-22,285186261,3793103
2016-11-23,288206929,3020668
2016-11-24,288206929,0
2016-11-25,294075101,5868172
2016-11-26,296922044,2846943
2016-11-27,300137348,3215304
2016-11-28,303794201,3656853
2016-11-29,310561620,6767419
2016-11-30,310561620,0
2016-12-01,309995248,-566372
2016-12-02,309995248,0
2016-12-03,309995248,0
2016-12-04,309995248,0
2016-12-05,309995248,0
2016-12-06,320676127,10680879
2016-12-08,329297058,8620931
2016-12-09,331648419,2351361
2016-12-10,333980498,2332079
2016-12-11,338980234,4999736
2016-12-12,338980234,0
2016-12-13,341927023,2946789
2016-12-14,344868538,2941515
2016-12-15,349629172,4760634
2016-12-16,352028765,2399593
2016-12-17,352028765,0
2016-12-18,352028765,0
2016-12-19,356842601,4813836
2016-12-20,361808612,4966011
2016-12-21,361808612,0
2016-12-22,366495457,4686845
2016-12-23,366495457,0
2016-12-24,371218226,4722769
2016-12-25,373714932,2496706
2016-12-26,376026466,2311534
2016-12-27,378117949,2091483
2016-12-28,381040885,2922936
2016-12-29,384115746,3074861
2016-12-30,387037086,2921340
2016-12-31,389787061,2749975
2017-01-01,392589060,2801999
2017-01-02,395086534,2497474
2017-01-03,397459182,2372648
2017-01-04,397459182,0
2017-01-05,399854313,2395131
2017-01-06,404544600,4690287
2017-01-07,404544600,0
2017-01-08,412364769,7820169
2017-01-09,414973011,2608242
2017-01-10,417212077,2239066
2017-01-11,419335853,2123776
2017-01-12,421459195,2123342
2017-01-13,423623380,2164185
2017-01-14,439470792,15847412
2017-01-15,439470792,0
2017-01-16,467101843,27631051
2017-01-17,472947730,5845887
2017-01-18,495242616,22294886
2017-01-19,495242616,0
2017-01-20,492854574,-2388042
2017-01-21,495244894,2390320
2017-01-22,501076435,5831541
2017-01-23,501076435,0
2017-01-24,503787673,2711238
2017-01-25,447287600,-56500073
2017-01-26,449573746,2286146
2017-01-27,451879818,2306072
2017-01-28,454264708,2384890
2017-01-29,456700684,2435976
2017-01-30,459082589,2381905
2017-01-31,461374485,2291896
2017-02-01,463482734,2108249
2017-02-02,465741454,2258720
2017-02-03,468055733,2314279
2017-02-04,470332672,2276939
2017-02-05,475181451,4848779
2017-02-06,475181451,0
2017-02-07,477780447,2598996
2017-02-08,480018713,2238266
2017-02-09,482154636,2135923
2017-02-10,484269717,2115081
2017-02-11,486504916,2235199
2017-02-12,488764422,2259506
2017-02-13,491195325,2430903
2017-02-14,493660254,2464929
2017-02-15,495805215,2144961
2017-02-16,497747617,1942402
2017-02-17,499700516,1952899
2017-02-19,503711439,4010923
2017-02-20,505921425,2209986
2017-02-21,508236794,2315369
2017-02-22,510233991,1997197
2017-02-23,514254456,4020465
2017-02-24,514254456,0
2017-02-25,516459340,2204884
2017-02-26,518489676,2030336
2017-02-27,520768102,2278426
2017-02-28,523063327,2295225
2017-03-01,525094067,2030740
2017-03-02,527090794,1996727
2017-03-03,529064510,1973716
2017-03-04,532987905,3923395
2017-03-05,535297999,2310094
2017-03-06,535297999,0
2017-03-07,537704505,2406506
2017-03-08,541592543,3888038
2017-03-09,543528528,1935985
2017-03-10,543528528,0
2017-03-11,545505062,1976534
2017-03-12,547491465,1986403
2017-03-13,551921358,4429893
2017-03-14,553663561,1742203
2017-03-15,553663561,0
